scenario_name,policy_name,decision_count,switch_rate,base_penalty_ms,spike_penalty_ms,spike_probability,n_trials,mean_penalized_latency_ms,mean_penalized_latency_ci_low_ms,mean_penalized_latency_ci_high_ms,mean_penalized_decision_gap_ms,mean_penalized_decision_gap_ci_low_ms,mean_penalized_decision_gap_ci_high_ms,success_rate_under_60ms,success_rate_ci_low,success_rate_ci_high,p95_penalized_latency_ms,cvar95_penalized_latency_ms,mean_spike_event_rate
in_distribution,random,74,0.8243243243243243,10.0,75.0,0.1,256,57.18162260929639,52.996920328890994,62.751987896458544,20.363006245741225,16.17830396533582,25.933371532903386,0.7189083614864865,0.6621621621621622,0.7702702702702703,116.3290517565807,131.44367087697134,0.08282305743243243
in_distribution,best_historical_path,74,0.7837837837837838,10.0,75.0,0.1,256,51.308881386538005,46.518446420321794,56.27351398788936,14.490265022982836,9.69983005676662,19.454897624334187,0.7976668074324325,0.7297297297297297,0.8513513513513513,106.64721681808138,122.6119481750983,0.07738597972972974
in_distribution,highest_reply_availability,74,0.8108108108108109,10.0,75.0,0.1,256,56.27212744512487,52.44769754647621,61.56931916809784,19.45351108156969,15.629081182921043,24.750702804542662,0.72265625,0.6621621621621622,0.7702702702702703,115.3200221384601,131.42312288486403,0.07801942567567569
in_distribution,reactive_greedy,74,0.7972972972972973,10.0,75.0,0.1,256,52.324798230629106,48.437023737385864,56.545131845493984,15.506181867073932,11.61840737383069,19.726515481938797,0.7690033783783784,0.7162162162162162,0.8108108108108109,107.18823403850304,121.94430208875968,0.07886402027027027
in_distribution,predictive_greedy,74,0.8108108108108109,10.0,75.0,0.1,256,51.65375334071219,47.48092817179328,56.60254979341488,14.835136977157015,10.662311808238092,19.78393342985972,0.779983108108108,0.7162162162162162,0.8243243243243243,108.69903622282128,123.4447075427276,0.08266469594594594
in_distribution,predictive_graph_greedy,74,0.8243243243243243,10.0,75.0,0.1,256,51.42426612777698,47.477106077101304,56.598727698722925,14.605649764221805,10.658489713546134,19.780111335167756,0.7811972128378378,0.7162162162162162,0.8327702702702703,106.8671475213971,122.08673782742144,0.07965582770270271
in_distribution,predictive_simple_fusion_greedy,74,0.8243243243243243,10.0,75.0,0.1,256,51.7215567364913,47.473509861491316,56.595131483112915,14.90294037293613,10.654893497936133,19.776515119557754,0.7798247466216215,0.7162162162162162,0.8327702702702703,108.53300142386516,123.86202241959586,0.08366765202702703
in_distribution,predictive_consensus_greedy,74,0.8243243243243243,10.0,75.0,0.1,256,51.45593842507428,47.47710607710132,55.58521418520941,14.637322061519106,10.658489713546134,18.76659782165424,0.7810388513513513,0.7297297297297297,0.8243243243243243,107.54065557709008,122.72937707882657,0.080078125
in_distribution,ensemble_uncertainty_selector,74,0.8108108108108109,10.0,75.0,0.1,256,51.82888694628859,47.64418466588319,56.7658062875048,15.01027058273342,10.825568302328014,19.947189923949633,0.7802470439189189,0.7162162162162162,0.8243243243243243,108.58894002061176,124.16053246852567,0.08282305743243244
in_distribution,conformal_uncertainty_selector,74,0.8108108108108109,10.0,75.0,0.1,256,52.08537996602203,48.05112109777879,57.172742719400404,15.266763602466852,11.232504734223612,20.354126355845235,0.7814083614864865,0.7212837837837838,0.8243243243243243,108.49874521359246,123.80180166409522,0.08081714527027029
