scenario_name,stratifier,stratum_level,candidate_count,mean_disagreement_ms,mean_abs_temporal_error_ms,service_failure_rate,spearman_disagreement_error,spearman_p_value
in_distribution,reply_pressure,high,81,2.021624432992605,3.6823588158714773,0.07407407407407407,0.2453026196928636,0.02729650494805937
in_distribution,reply_pressure,low,81,2.3174807504033925,4.649983872659014,0.12345679012345678,0.4631436314363143,1.3379268351606981e-05
in_distribution,volatility,high,81,2.6310297231992887,5.18386814974532,0.16049382716049382,0.43660794941282743,4.6040670261182276e-05
in_distribution,volatility,low,81,1.7080754601967088,3.148474538785172,0.037037037037037035,0.24164408310749771,0.02975686129453872
in_distribution,time_of_day,night,81,1.4800470794488891,2.430821420535241,0.0,0.09893857271906051,0.37952823899466054
in_distribution,time_of_day,day,81,2.8590581039471084,5.901521267995252,0.19753086419753085,0.4620822041553748,1.4085339525589079e-05
in_distribution,site,brisbane,9,1.2841704513289693,2.520380454398213,0.0,0.16666666666666669,0.668231040071504
in_distribution,site,bruhl,9,1.0459244723980292,1.259567170491536,0.0,0.6166666666666666,0.07692880993776312
in_distribution,site,kanazawa,9,1.7210088545623674,2.6035592581815745,0.0,0.6,0.08762282904140249
in_distribution,site,lincoln,9,1.7949646338826521,2.6836566440866565,0.0,-0.5166666666666667,0.15439012098622507
in_distribution,site,manila,9,1.796429304158159,2.403733656717078,0.0,0.43333333333333335,0.24395243588005172
in_distribution,site,minneapolis,9,1.0813841096446088,3.449092058515261,0.0,-0.35,0.35581957250178897
in_distribution,site,seattle,9,1.2630840217931716,2.5740643323016013,0.0,0.5166666666666667,0.15439012098622507
in_distribution,site,slc,9,1.4234666190169365,2.5242416887305295,0.0,0.4666666666666666,0.2053863511058121
in_distribution,site,ulukhaktok,36,3.315538769344256,5.5364413570166064,0.25,0.30939510939510945,0.06632776913449949
in_distribution,site,victoria,9,2.6144857925451612,1.429619560097755,0.0,0.5833333333333334,0.09918581647988327
in_distribution,site,victoria_hp1_proto2,9,0.9465516318257667,2.90335832166421,0.0,-0.09999999999999999,0.797971695234851
in_distribution,site,zambia,9,5.617234609697132,19.592790480843362,0.7777777777777778,-0.2333333333333333,0.5456987782182728
in_distribution,site,dallas,9,2.3691533034815517,3.8730958252982637,0.0,-0.016666666666666666,0.9660548039946862
in_distribution,site,denver,9,1.6734550006059281,1.6393513289232164,0.0,-0.06666666666666667,0.8646897846262036
in_distribution,site,ottawa,9,1.15847876824652,3.3888079884587454,0.0,0.48333333333333334,0.18746985521554216
temporal_shift,reply_pressure,low,81,4.8707389352031765,8.912383047239883,0.09876543209876543,0.6286359530261969,3.308543780268243e-10
temporal_shift,reply_pressure,high,81,7.836548918761854,12.355186680956557,0.06172839506172839,0.7004968383017164,3.3615963415026915e-13
temporal_shift,volatility,high,81,7.303373922217484,13.654908317713778,0.14814814814814814,0.5802393857271906,1.368561431074544e-08
temporal_shift,volatility,low,81,5.403913931747546,7.612661410482662,0.012345679012345678,0.7084010840108401,1.3888082741931357e-13
temporal_shift,time_of_day,night,81,6.409806247485477,9.210988241522646,0.0,0.6907407407407407,9.627917776125805e-13
temporal_shift,time_of_day,day,81,6.297481606479553,12.056581486673796,0.16049382716049382,0.5759485094850948,1.8496859810712252e-08
temporal_shift,site,brisbane,9,6.852630427055576,10.277953880042856,0.0,0.8499999999999999,0.0037047773275858125
temporal_shift,site,bruhl,9,6.00139713176092,7.42820111830412,0.0,0.4666666666666666,0.2053863511058121
temporal_shift,site,kanazawa,9,5.843729532789035,5.7267446853492245,0.0,0.7333333333333334,0.024554150071469705
temporal_shift,site,lincoln,9,5.818270867021561,6.931479648542481,0.0,0.8833333333333333,0.0015905004234978695
temporal_shift,site,manila,9,6.234885075454865,7.721648170665491,0.0,0.6166666666666666,0.07692880993776312
temporal_shift,site,minneapolis,9,7.001985188148057,10.369797918625197,0.0,0.5,0.1704706607870538
temporal_shift,site,seattle,9,6.269888749008512,6.40467392605763,0.0,0.9333333333333332,0.00023589981215941651
temporal_shift,site,slc,9,6.046143861668497,9.791128567656465,0.0,0.7,0.03576957497026173
temporal_shift,site,ulukhaktok,36,4.946277958302744,10.674781025096038,0.1388888888888889,0.36190476190476195,0.03008918377741039
temporal_shift,site,victoria,9,6.670157308249246,11.253947059005576,0.0,0.3,0.43284532670948234
temporal_shift,site,victoria_hp1_proto2,9,6.092696093589034,9.46171610145913,0.0,0.7833333333333333,0.012519873019449885
temporal_shift,site,zambia,9,10.141236057228626,26.128209889024905,0.7777777777777778,0.5833333333333334,0.09918581647988327
temporal_shift,site,dallas,9,8.200068881744503,15.764448726275507,0.1111111111111111,0.2833333333333333,0.46003032896572005
