scenario_name,policy_name,horizon_bins,decision_count,mean_cumulative_latency_ms,mean_cumulative_decision_gap_ms,success_rate_under_budget
in_distribution,random,3,71,127.65597996839671,14.898875690946618,0.8591549295774648
in_distribution,random,5,69,213.74952046925824,25.568341577202762,0.855072463768116
in_distribution,best_historical_path,3,72,113.1289410825045,0.8475385838160219,0.9027777777777778
in_distribution,best_historical_path,5,68,188.93377588833926,0.3341380956587038,0.9264705882352942
in_distribution,highest_reply_availability,3,71,125.95397692956907,13.196872652118984,0.8591549295774648
in_distribution,highest_reply_availability,5,68,209.3564180725946,20.75678027991407,0.8676470588235294
in_distribution,reactive_greedy,3,72,115.66801048194205,3.3866079832535654,0.9027777777777778
in_distribution,reactive_greedy,5,68,192.67899086630752,4.079353073626997,0.9117647058823529
in_distribution,predictive_greedy,3,72,112.65142277974172,0.37002028105325063,0.9027777777777778
in_distribution,predictive_greedy,5,68,189.475311686278,0.8756738935974452,0.9264705882352942
in_distribution,predictive_graph_greedy,3,72,112.51982585493,0.23842335624152572,0.9027777777777778
in_distribution,predictive_graph_greedy,5,68,189.85709397183322,1.2574561791526415,0.9264705882352942
in_distribution,predictive_simple_fusion_greedy,3,72,112.48973098000616,0.20832848131767376,0.9027777777777778
in_distribution,predictive_simple_fusion_greedy,5,68,189.6616048255974,1.061967032916831,0.9264705882352942
in_distribution,predictive_consensus_greedy,3,72,112.51982585493,0.23842335624152572,0.9027777777777778
in_distribution,predictive_consensus_greedy,5,68,189.85709397183322,1.2574561791526415,0.9264705882352942
in_distribution,ensemble_uncertainty_selector,3,72,112.83869032667127,0.5572878279827902,0.9027777777777778
in_distribution,ensemble_uncertainty_selector,5,68,189.9562481330452,1.3566103403646699,0.9264705882352942
in_distribution,conformal_uncertainty_selector,3,72,114.4666629466527,2.1852604479642155,0.9027777777777778
in_distribution,conformal_uncertainty_selector,5,68,191.19064349552986,2.591005702849319,0.9264705882352942
in_distribution,disagreement_aware_selector,3,72,112.68963561672061,0.4082331180321231,0.9027777777777778
in_distribution,disagreement_aware_selector,5,68,189.9612256344786,1.361587841798052,0.9264705882352942
temporal_shift,random,3,23,131.44277946030547,5.820033067208345,1.0
temporal_shift,random,5,19,223.63866535236244,7.978894921243227,1.0
temporal_shift,best_historical_path,3,24,126.41397275441864,2.754400119091608,1.0
temporal_shift,best_historical_path,5,20,214.30353573027728,2.9035498405816824,1.0
temporal_shift,highest_reply_availability,3,23,139.25582971032404,13.633083317226914,1.0
temporal_shift,highest_reply_availability,5,19,230.41219804516905,14.75242761404977,1.0
temporal_shift,reactive_greedy,3,24,131.09808911355216,7.438516478225125,1.0
temporal_shift,reactive_greedy,5,19,226.61886775042478,10.959097319305608,1.0
temporal_shift,predictive_greedy,3,23,126.14711954630437,0.524373153207194,1.0
temporal_shift,predictive_greedy,5,20,215.82593637819127,4.425950488495674,1.0
temporal_shift,predictive_graph_greedy,3,23,126.7128054948108,1.0900591017135997,1.0
temporal_shift,predictive_graph_greedy,5,19,218.19015277467295,2.530382343553755,1.0
temporal_shift,predictive_simple_fusion_greedy,3,23,126.10849434221373,0.4857479491165664,1.0
temporal_shift,predictive_simple_fusion_greedy,5,20,214.661139566462,3.261153676766388,1.0
temporal_shift,predictive_consensus_greedy,3,23,126.07077258623987,0.44802619314270015,1.0
temporal_shift,predictive_consensus_greedy,5,20,214.661139566462,3.261153676766388,1.0
temporal_shift,ensemble_uncertainty_selector,3,23,126.03434740213443,0.41160100903725366,1.0
temporal_shift,ensemble_uncertainty_selector,5,20,214.1716593314358,2.7716734417401527,1.0
temporal_shift,conformal_uncertainty_selector,3,23,126.3012115984164,0.6784652053192176,1.0
temporal_shift,conformal_uncertainty_selector,5,20,215.01484062304547,3.614854733349877,1.0
temporal_shift,disagreement_aware_selector,3,23,126.85195838634516,1.229211993247976,1.0
temporal_shift,disagreement_aware_selector,5,20,216.34814913276477,4.948163243069134,1.0
site_holdout,random,3,115,132.87119779753206,12.699547488419512,0.8347826086956521
site_holdout,random,5,111,221.4502970487239,18.723292104485548,0.8378378378378378
site_holdout,best_historical_path,3,115,129.31704288178963,10.154419092640026,0.8
site_holdout,best_historical_path,5,111,215.73526739270287,14.618653577242357,0.7747747747747747
site_holdout,highest_reply_availability,3,114,127.00682860893106,7.487572823443433,0.8596491228070176
site_holdout,highest_reply_availability,5,110,211.73257805990102,9.973668478869477,0.8272727272727273
site_holdout,reactive_greedy,3,115,125.9339770688387,6.771353279689113,0.8608695652173913
site_holdout,reactive_greedy,5,110,211.76066321020986,10.001753629178364,0.8272727272727273
site_holdout,predictive_greedy,3,114,120.1123367933329,0.5930810078452894,0.9035087719298246
site_holdout,predictive_greedy,5,111,202.6509321843841,1.5343183689236375,0.8918918918918919
site_holdout,predictive_graph_greedy,3,114,121.50347339192653,1.984217606438907,0.8859649122807017
site_holdout,predictive_graph_greedy,5,110,205.52820174896038,3.7692921679288496,0.8727272727272727
site_holdout,predictive_simple_fusion_greedy,3,114,120.24012692343055,0.7208711379429364,0.8947368421052632
site_holdout,predictive_simple_fusion_greedy,5,111,202.99868154331216,1.8820677278517182,0.8918918918918919
site_holdout,predictive_consensus_greedy,3,114,120.06003580792562,0.5407800224379989,0.9035087719298246
site_holdout,predictive_consensus_greedy,5,111,202.8802453240011,1.7636315085406589,0.8918918918918919
site_holdout,ensemble_uncertainty_selector,3,114,120.45536014248862,0.9361043570009968,0.9035087719298246
site_holdout,ensemble_uncertainty_selector,5,111,202.53955999443951,1.4229461789790347,0.8918918918918919
site_holdout,conformal_uncertainty_selector,3,114,121.34778407066987,1.8285282851822486,0.9035087719298246
site_holdout,conformal_uncertainty_selector,5,111,204.37319813569613,3.25658432023564,0.8828828828828829
site_holdout,disagreement_aware_selector,3,114,120.24201888546308,0.7227630999754697,0.9035087719298246
site_holdout,disagreement_aware_selector,5,111,202.8766629982301,1.760049182769644,0.8918918918918919
operational_mild,random,3,23,131.44277946030547,5.820033067208345,1.0
operational_mild,random,5,19,223.63866535236244,7.978894921243227,1.0
operational_mild,best_historical_path,3,24,126.41397275441864,2.754400119091608,1.0
operational_mild,best_historical_path,5,20,214.30353573027728,2.9035498405816824,1.0
operational_mild,highest_reply_availability,3,24,136.4830875323801,12.823514897053078,1.0
operational_mild,highest_reply_availability,5,19,229.84891000144222,14.189139570322967,1.0
operational_mild,reactive_greedy,3,24,130.87878666593997,7.2192140306129415,1.0
operational_mild,reactive_greedy,5,19,227.67009195162882,12.010321520509589,1.0
operational_mild,predictive_greedy,3,23,126.14711954630437,0.524373153207194,1.0
operational_mild,predictive_greedy,5,20,215.82593637819127,4.425950488495674,1.0
operational_mild,predictive_graph_greedy,3,23,127.72818927970665,2.1054428866094783,1.0
operational_mild,predictive_graph_greedy,5,19,218.86174618013146,3.201975749012276,1.0
operational_mild,predictive_simple_fusion_greedy,3,23,126.07077258623987,0.44802619314270015,1.0
operational_mild,predictive_simple_fusion_greedy,5,20,214.661139566462,3.261153676766388,1.0
operational_mild,predictive_consensus_greedy,3,23,126.07077258623987,0.44802619314270015,1.0
operational_mild,predictive_consensus_greedy,5,20,214.661139566462,3.261153676766388,1.0
operational_mild,ensemble_uncertainty_selector,3,23,126.44189703907064,0.8191506459734871,1.0
operational_mild,ensemble_uncertainty_selector,5,20,216.37273450138872,4.972748611693082,1.0
operational_mild,conformal_uncertainty_selector,3,23,126.91820107271866,1.2954546796214756,1.0
operational_mild,conformal_uncertainty_selector,5,20,215.82337004113748,4.423384151441864,1.0
operational_mild,disagreement_aware_selector,3,23,126.85195838634516,1.229211993247976,1.0
operational_mild,disagreement_aware_selector,5,20,216.34814913276477,4.948163243069134,1.0
operational_moderate,random,3,23,131.44277946030547,5.820033067208345,1.0
operational_moderate,random,5,19,223.63866535236244,7.978894921243227,1.0
operational_moderate,best_historical_path,3,24,126.41397275441864,2.754400119091608,1.0
operational_moderate,best_historical_path,5,20,214.30353573027728,2.9035498405816824,1.0
operational_moderate,highest_reply_availability,3,24,135.90897324727598,12.249400611948943,1.0
operational_moderate,highest_reply_availability,5,20,230.56740895893063,19.167423069235,1.0
operational_moderate,reactive_greedy,3,24,130.80323796997465,7.143665334647612,1.0
operational_moderate,reactive_greedy,5,19,227.25508659134454,11.59531616022534,1.0
operational_moderate,predictive_greedy,3,23,126.14711954630437,0.524373153207194,1.0
operational_moderate,predictive_greedy,5,20,215.82593637819127,4.425950488495674,1.0
operational_moderate,predictive_graph_greedy,3,23,127.60201312556447,1.979266732467288,1.0
operational_moderate,predictive_graph_greedy,5,20,215.98879329945535,4.588807409759762,1.0
operational_moderate,predictive_simple_fusion_greedy,3,23,126.18484130227823,0.5620949091810602,1.0
operational_moderate,predictive_simple_fusion_greedy,5,20,215.82593637819127,4.425950488495674,1.0
operational_moderate,predictive_consensus_greedy,3,23,126.10849434221373,0.4857479491165664,1.0
operational_moderate,predictive_consensus_greedy,5,20,214.661139566462,3.261153676766388,1.0
operational_moderate,ensemble_uncertainty_selector,3,23,126.99594858797639,1.3732021948792283,1.0
operational_moderate,ensemble_uncertainty_selector,5,20,217.6078595593151,6.207873669619476,1.0
operational_moderate,conformal_uncertainty_selector,3,23,126.45971999337057,0.8369736002733742,1.0
operational_moderate,conformal_uncertainty_selector,5,20,217.797071404593,6.3970855148973795,1.0
operational_moderate,disagreement_aware_selector,3,23,126.4433922707422,0.8206458776450181,1.0
operational_moderate,disagreement_aware_selector,5,20,214.99247819242197,3.592492302726356,1.0
operational_severe,random,3,23,131.44277946030547,5.820033067208345,1.0
operational_severe,random,5,19,223.63866535236244,7.978894921243227,1.0
operational_severe,best_historical_path,3,24,126.41397275441864,2.754400119091608,1.0
operational_severe,best_historical_path,5,20,214.30353573027728,2.9035498405816824,1.0
operational_severe,highest_reply_availability,3,23,138.0212113818715,12.398464988774316,1.0
operational_severe,highest_reply_availability,5,19,234.02338359626197,18.36361316514275,1.0
operational_severe,reactive_greedy,3,23,135.36088244708,9.738136053982855,1.0
operational_severe,reactive_greedy,5,20,224.6438689012257,13.243883011530079,1.0
operational_severe,predictive_greedy,3,23,126.82768653635459,1.2049401432574123,1.0
operational_severe,predictive_greedy,5,20,217.29183243411208,5.891846544416474,1.0
operational_severe,predictive_graph_greedy,3,23,126.76900774493456,1.1462613518374085,1.0
operational_severe,predictive_graph_greedy,5,20,218.24652611190967,6.846540222214054,1.0
operational_severe,predictive_simple_fusion_greedy,3,23,126.47841763683763,0.8556712437404507,1.0
operational_severe,predictive_simple_fusion_greedy,5,20,216.91383371590888,5.513847826213244,1.0
operational_severe,predictive_consensus_greedy,3,23,126.47841763683763,0.8556712437404507,1.0
operational_severe,predictive_consensus_greedy,5,20,216.91383371590888,5.513847826213244,1.0
operational_severe,ensemble_uncertainty_selector,3,23,129.83918232228888,4.216435929191711,1.0
operational_severe,ensemble_uncertainty_selector,5,20,220.27651107669917,8.876525187003532,1.0
operational_severe,conformal_uncertainty_selector,3,23,127.01770032051203,1.3949539274148512,1.0
