comparison_name,metric_name,sample_count,mean_delta,median_delta,ci_lower,ci_upper,statistic,p_value,holm_adjusted_p_value,effect_size_dz,win_rate,loss_rate,scenario_name
risk_adjusted_vs_temporal,realized_next_latency_ms,74,0.12571741653680127,0.0,-0.3966029341437298,0.7447887455871809,15.0,0.6744240722352938,1.0,0.050947516265936015,0.04054054054054054,0.06756756756756757,in_distribution
risk_adjusted_vs_temporal,decision_gap_ms,74,0.12571741653680127,0.0,-0.3966029341437298,0.7447887455871809,15.0,0.6744240722352938,1.0,0.050947516265936015,0.04054054054054054,0.06756756756756757,in_distribution
risk_adjusted_vs_temporal,success_under_budget,74,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,in_distribution
risk_adjusted_vs_temporal,realized_cumulative_latency_3_ms,72,0.03821283697887247,0.0,-0.4918170843664745,0.6434423246066112,13.0,0.8657723749926214,1.0,0.015656040135692467,0.041666666666666664,0.05555555555555555,in_distribution
risk_adjusted_vs_temporal,cumulative_decision_gap_3_ms,72,0.03821283697887247,0.0,-0.4918170843664745,0.6434423246066112,13.0,0.8657723749926214,1.0,0.015656040135692467,0.041666666666666664,0.05555555555555555,in_distribution
risk_adjusted_vs_temporal,realized_cumulative_latency_5_ms,68,0.4859139482006068,0.0,-0.38247892477623163,1.469654222067297,6.0,0.3454475304692257,1.0,0.12014436140820768,0.029411764705882353,0.058823529411764705,in_distribution
risk_adjusted_vs_temporal,cumulative_decision_gap_5_ms,68,0.4859139482006068,0.0,-0.38247892477623163,1.469654222067297,6.0,0.3454475304692257,1.0,0.12014436140820768,0.029411764705882353,0.058823529411764705,in_distribution
risk_adjusted_vs_graph,realized_next_latency_ms,74,0.2646746463638968,0.0,-0.016702509591551184,0.8025839752573594,1.0,0.28504940740261275,1.0,0.1358006639217804,0.013513513513513514,0.02702702702702703,in_distribution
risk_adjusted_vs_graph,decision_gap_ms,74,0.2646746463638968,0.0,-0.016702509591551184,0.8025839752573594,1.0,0.28504940740261275,1.0,0.1358006639217804,0.013513513513513514,0.02702702702702703,in_distribution
risk_adjusted_vs_graph,success_under_budget,74,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,in_distribution
risk_adjusted_vs_graph,realized_cumulative_latency_3_ms,72,0.1698097617905974,0.0,-0.1361056867180667,0.6455349720898589,1.0,0.6547208460185769,1.0,0.09074482912800996,0.013888888888888888,0.013888888888888888,in_distribution
risk_adjusted_vs_graph,cumulative_decision_gap_3_ms,72,0.1698097617905974,0.0,-0.1361056867180667,0.6455349720898589,1.0,0.6547208460185769,1.0,0.09074482912800996,0.013888888888888888,0.013888888888888888,in_distribution
risk_adjusted_vs_graph,realized_cumulative_latency_5_ms,68,0.10413166264541056,0.0,-0.017209503287377255,0.3296044912236089,1.0,0.6547208460185769,1.0,0.11469065913450832,0.014705882352941176,0.014705882352941176,in_distribution
risk_adjusted_vs_graph,cumulative_decision_gap_5_ms,68,0.10413166264541056,0.0,-0.017209503287377255,0.3296044912236089,1.0,0.6547208460185769,1.0,0.11469065913450832,0.014705882352941176,0.014705882352941176,in_distribution
risk_adjusted_vs_fusion,realized_next_latency_ms,74,0.268270861973898,0.0,-0.01310629398155005,0.8061801908673605,2.0,0.27332167829229814,1.0,0.13766345616640804,0.013513513513513514,0.04054054054054054,in_distribution
risk_adjusted_vs_fusion,decision_gap_ms,74,0.268270861973898,0.0,-0.01310629398155005,0.8061801908673605,2.0,0.27332167829229814,1.0,0.13766345616640804,0.013513513513513514,0.04054054054054054,in_distribution
risk_adjusted_vs_fusion,success_under_budget,74,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,in_distribution
risk_adjusted_vs_fusion,realized_cumulative_latency_3_ms,72,0.19990463671444936,0.0,-0.09073712447871113,0.7057247219375627,2.0,0.5929800980174267,1.0,0.10600037227542645,0.013888888888888888,0.027777777777777776,in_distribution
risk_adjusted_vs_fusion,cumulative_decision_gap_3_ms,72,0.19990463671444936,0.0,-0.09073712447871113,0.7057247219375627,2.0,0.5929800980174267,1.0,0.10600037227542645,0.013888888888888888,0.027777777777777776,in_distribution
risk_adjusted_vs_fusion,realized_cumulative_latency_5_ms,68,0.29962080888122117,0.0,-0.011473002191584836,0.7819565849432425,1.0,0.28504940740261275,1.0,0.16293094134218686,0.014705882352941176,0.029411764705882353,in_distribution
risk_adjusted_vs_fusion,cumulative_decision_gap_5_ms,68,0.29962080888122117,0.0,-0.011473002191584836,0.7819565849432425,1.0,0.28504940740261275,1.0,0.16293094134218686,0.014705882352941176,0.029411764705882353,in_distribution
risk_adjusted_vs_ensemble_uncertainty,realized_next_latency_ms,74,-0.03753907755311788,0.0,-0.23154027280321085,0.08978538126427169,7.0,0.892738400944348,1.0,-0.05278399003047617,0.02702702702702703,0.04054054054054054,in_distribution
risk_adjusted_vs_ensemble_uncertainty,decision_gap_ms,74,-0.03753907755311788,0.0,-0.23154027280321085,0.08978538126427169,7.0,0.892738400944348,1.0,-0.05278399003047617,0.02702702702702703,0.04054054054054054,in_distribution
risk_adjusted_vs_ensemble_uncertainty,success_under_budget,74,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,in_distribution
risk_adjusted_vs_ensemble_uncertainty,realized_cumulative_latency_3_ms,72,-0.1490547099506671,0.0,-0.6245519249672211,0.21230054434362225,6.0,0.6858304344516057,1.0,-0.0802471472328017,0.027777777777777776,0.041666666666666664,in_distribution
risk_adjusted_vs_ensemble_uncertainty,cumulative_decision_gap_3_ms,72,-0.1490547099506671,0.0,-0.6245519249672211,0.21230054434362225,6.0,0.6858304344516057,1.0,-0.0802471472328017,0.027777777777777776,0.041666666666666664,in_distribution
risk_adjusted_vs_ensemble_uncertainty,realized_cumulative_latency_5_ms,68,0.004977501433382055,0.0,-0.7294103910103047,0.8825311759132721,6.0,0.6858304344516057,1.0,0.001427028511930716,0.04411764705882353,0.029411764705882353,in_distribution
