scenario_name,policy_name,switch_penalty_ms,decision_count,switch_rate,mean_penalized_latency_ms,mean_penalized_decision_gap_ms,success_rate_under_60ms,p95_penalized_latency_ms,cvar95_penalized_latency_ms
in_distribution,random,5.0,74,0.8243243243243243,46.84827168024235,10.029655316687169,0.8243243243243243,79.20035202539621,96.45615646776628
in_distribution,random,10.0,74,0.8243243243243243,50.96989330186397,14.151276938308794,0.7837837837837838,83.45544948026775,100.20615646776628
in_distribution,random,20.0,74,0.8243243243243243,59.2131365451072,22.394520181552036,0.6351351351351351,89.71047011370412,107.91030593990268
in_distribution,best_historical_path,5.0,74,0.7837837837837838,41.58601398788936,4.767397624334188,0.8918918918918919,69.0193334228696,76.61559383289513
in_distribution,best_historical_path,10.0,74,0.7837837837837838,45.50493290680828,8.686316543253106,0.8648648648648649,72.79721090373513,80.36559383289513
in_distribution,best_historical_path,20.0,74,0.7837837837837838,53.34277074464612,16.524154381090945,0.7702702702702703,79.6994588037693,90.25367800251851
in_distribution,highest_reply_availability,5.0,74,0.8108108108108109,46.36661646539513,9.54800010183996,0.8243243243243243,84.31814672508615,96.45615646776628
in_distribution,highest_reply_availability,10.0,74,0.8108108108108109,50.42067051944919,13.602054155894015,0.7837837837837838,88.57324417995768,100.20615646776628
in_distribution,highest_reply_availability,20.0,74,0.8108108108108109,58.5287786275573,21.710162264002122,0.6621621621621622,92.4662057212294,109.87868851670648
in_distribution,reactive_greedy,5.0,74,0.7972972972972973,42.423510223872356,5.604893860317176,0.8783783783783784,68.55078424122566,74.96857565431532
in_distribution,reactive_greedy,10.0,74,0.7972972972972973,46.40999671035884,9.591380346803664,0.8378378378378378,71.08100324124092,75.5683931543026
in_distribution,reactive_greedy,20.0,74,0.7972972972972973,54.382969683331815,17.564353319776636,0.7432432432432432,76.8273870443821,80.21637656839802
in_distribution,predictive_greedy,5.0,74,0.8108108108108109,41.3998470907122,4.581230727157013,0.8783783783783784,68.55078424122566,75.36559383289513
in_distribution,predictive_greedy,10.0,74,0.8108108108108109,45.45390114476625,8.635284781211066,0.8513513513513513,71.08100324124092,78.46541133288241
in_distribution,predictive_greedy,20.0,74,0.8108108108108109,53.56200925287436,16.74339288931918,0.7567567567567568,78.26995002091634,87.33241780046794
in_distribution,predictive_graph_greedy,5.0,74,0.8243243243243243,41.32845742845266,4.509841064897485,0.8783783783783784,68.55078424122566,75.36559383289513
in_distribution,predictive_graph_greedy,10.0,74,0.8243243243243243,45.450079050074294,8.631462686519107,0.8513513513513513,71.08100324124092,78.46541133288241
