scenario_name,disagreement_bin,candidate_count,mean_disagreement_ms,mean_risk_adjusted_abs_error_ms,mean_temporal_abs_error_ms,mean_graph_abs_error_ms,service_failure_rate
in_distribution,Low,54,0.3348143668064983,3.073528809500666,2.6355590700439073,2.673279767958507,0.05555555555555555
in_distribution,Medium,54,1.4150133582453506,4.3730663746812315,3.4036738709224426,3.076743395956263,0.018518518518518517
in_distribution,High,54,4.758830050042148,8.612208476194574,6.45928109182939,7.065760979174842,0.2222222222222222
temporal_shift,Low,54,0.592110019833702,4.12144795735529,3.590970235114187,3.730943195787925,0.037037037037037035
temporal_shift,Medium,54,2.0216978946959223,5.522943691296099,4.261279391403742,3.8450356151958336,0.07407407407407407
temporal_shift,High,54,16.447123866417922,14.095028141584399,24.04910496577673,9.01553762814685,0.12962962962962962
site_holdout,Low,139,0.7545635743801227,4.8442684123136965,3.931893405306835,3.8422951340456546,0.12949640287769784
site_holdout,Medium,138,2.7994467178587135,5.0630864056722995,4.089733070706038,4.480093620140115,0.16666666666666666
site_holdout,High,139,8.480565872448365,9.043729580738697,9.554061971868123,9.532550361097002,0.39568345323741005
operational_mild,Low,54,0.6568796586075559,4.876662884596362,5.022733473946004,4.99822376424553,0.037037037037037035
operational_mild,Medium,54,2.1865988726914884,8.189488875688602,8.546204475556344,8.005640508164813,0.18518518518518517
operational_mild,High,54,16.882056064825385,17.575848143562432,28.115529436254707,13.424511575004598,0.18518518518518517
operational_moderate,Low,54,0.7124472526241469,15.257839877359098,16.265621584813672,16.277576291662264,0.4444444444444444
operational_moderate,Medium,54,2.294199235872923,15.400148602483622,16.232643659429236,16.097628629885847,0.3888888888888889
operational_moderate,High,54,17.711964938391922,24.68283297805345,36.713224467900744,21.428826372584997,0.46296296296296297
operational_severe,Low,54,0.996243637462427,30.770846301284877,32.10461533422035,32.05249561147439,0.6666666666666666
operational_severe,Medium,54,2.6822506075797583,31.95756352670114,33.72075201598092,32.75628005648577,0.6481481481481481
operational_severe,High,54,17.634770363261968,40.72431097026911,53.82922533935322,37.7822975224245,0.6851851851851852
