policy_name,decision_count,mean_realized_latency_ms,mean_decision_gap_ms,retrospective_best_path_match_rate,success_rate_under_60ms,p95_realized_latency_ms,cvar95_realized_latency_ms,mean_decision_time_us,switch_rate,scenario_name
random,74,42.72665005862073,5.90803369506555,0.581081081081081,0.8648648648648649,76.05085868434237,92.70615646776628,274.9988513513514,0.8243243243243243,in_distribution
best_historical_path,74,37.66709506897044,0.8484787054152687,0.8378378378378378,0.918918918918919,64.0193334228696,72.86559383289513,261.1261486486486,0.7837837837837838,in_distribution
highest_reply_availability,74,42.312562411341084,5.493946047785907,0.5945945945945946,0.8513513513513513,79.31814672508615,92.70615646776628,289.13960810810806,0.8108108108108109,in_distribution
reactive_greedy,74,38.437023737385864,1.6184073738306892,0.6891891891891891,0.918918918918919,65.30078424122563,74.96857565431532,814.4003783783785,0.7972972972972973,in_distribution
predictive_greedy,74,37.345793036658144,0.5271766731029592,0.8513513513513513,0.918918918918919,64.0193334228696,72.86559383289513,253.75616216216213,0.8108108108108109,in_distribution
predictive_graph_greedy,74,37.20683580683104,0.38821944327586366,0.8378378378378378,0.918918918918919,64.0193334228696,72.86559383289513,275.91671621621623,0.8243243243243243,in_distribution
predictive_simple_fusion_greedy,74,37.203239591221035,0.38462322766586254,0.8513513513513513,0.918918918918919,64.0193334228696,72.86559383289513,334.0562837837837,0.8243243243243243,in_distribution
predictive_consensus_greedy,74,37.20683580683104,0.38821944327586366,0.8378378378378378,0.918918918918919,64.0193334228696,72.86559383289513,268.90087837837837,0.8243243243243243,in_distribution
ensemble_uncertainty_selector,74,37.50904953074805,0.6904331671928784,0.8378378378378378,0.918918918918919,64.0193334228696,72.86559383289513,285.977,0.8108108108108109,in_distribution
conformal_uncertainty_selector,74,37.91598596264365,1.0973695990884762,0.7297297297297297,0.918918918918919,64.0193334228696,72.86559383289513,241.67225675675675,0.8108108108108109,in_distribution
disagreement_aware_selector,74,37.47151045319494,0.6528940896397605,0.8243243243243243,0.918918918918919,64.0193334228696,72.86559383289513,233.64641891891895,0.8108108108108109,in_distribution
random,28,43.20267539348872,4.333291508454129,0.4642857142857143,0.9642857142857143,57.07585033961099,59.38279438294873,308.5908214285714,0.32142857142857145,temporal_shift
best_historical_path,28,41.469066736989916,2.5996828519553254,0.4642857142857143,0.9642857142857143,57.07585033961099,59.38279438294873,427.4092142857143,0.07142857142857142,temporal_shift
highest_reply_availability,28,45.833932345563376,6.9645484605287935,0.21428571428571427,0.8928571428571429,64.25816033357098,67.37094853616422,440.85407142857144,0.75,temporal_shift
reactive_greedy,28,43.426592080707046,4.5572081956724615,0.32142857142857145,0.8928571428571429,61.9088248020949,65.56376735810568,325.0313928571428,0.7142857142857143,temporal_shift
