scenario_name,disagreement_bin,policy_name,decision_count,mean_realized_latency_ms,mean_regret_ms,best_path_match_rate,success_rate_under_60ms,mean_chosen_disagreement
base,Low,predictive_consensus_greedy,10,43.66836144913376,2.245178521072968,0.7,1.0,1.6517627120090765
base,Low,predictive_graph_greedy,10,43.31090957436382,1.8877266463030264,0.7,1.0,1.9237313790566986
base,Low,predictive_greedy,10,43.1293695170961,1.706186589035309,0.7,1.0,2.5565447171989946
base,Low,predictive_simple_fusion_greedy,10,44.12578745826121,2.7026045302004156,0.6,1.0,1.9373880108811137
base,Low,random,10,43.606701438852625,2.1835185107918367,0.6,1.0,1.8958105858822818
base,Low,reactive_greedy,10,46.93133330202545,5.50815037396466,0.5,0.9,2.52271301285582
base,Medium,predictive_consensus_greedy,9,36.09272228862753,0.4607840881538697,0.6666666666666666,1.0,2.576700913887988
base,Medium,predictive_graph_greedy,9,36.317986433788434,0.6860482333147755,0.4444444444444444,1.0,1.9785758949316612
base,Medium,predictive_greedy,9,39.10897436209786,3.4770361616241985,0.3333333333333333,0.8888888888888888,3.963013340950258
base,Medium,predictive_simple_fusion_greedy,9,36.80151471672438,1.1695765162507183,0.4444444444444444,1.0,3.346138241725081
base,Medium,random,9,41.18067289604565,5.548734695571991,0.4444444444444444,1.0,2.127342977101863
base,Medium,reactive_greedy,9,40.37700763277336,4.7450694322997045,0.1111111111111111,0.8888888888888888,3.2177799690729847
base,High,predictive_consensus_greedy,9,42.15053886134832,2.8812637840041457,0.5555555555555556,0.8888888888888888,5.81781448124093
base,High,predictive_graph_greedy,9,42.04318385866856,2.77390878132438,0.5555555555555556,0.8888888888888888,4.553758119847367
base,High,predictive_greedy,9,42.325457884323065,3.0561828069788803,0.4444444444444444,0.8888888888888888,6.567449864507783
base,High,predictive_simple_fusion_greedy,9,42.325457884323065,3.0561828069788803,0.4444444444444444,0.8888888888888888,6.567449864507783
base,High,random,9,44.775760062749654,5.506484985405478,0.3333333333333333,0.8888888888888888,5.246914267898926
base,High,reactive_greedy,9,42.582019616064734,3.312744538720554,0.3333333333333333,0.8888888888888888,5.810718574418085
burst,Low,predictive_consensus_greedy,10,49.22790014593575,4.230823269588195,0.5,0.9,2.11458280667066
burst,Low,predictive_graph_greedy,10,49.22790014593575,4.230823269588195,0.5,0.9,2.11458280667066
burst,Low,predictive_greedy,10,51.67597945637393,6.678902580026376,0.3,0.8,2.9490752672172675
burst,Low,predictive_simple_fusion_greedy,10,49.52457104328717,4.52749416693961,0.5,0.9,2.7398751669519696
burst,Low,random,10,47.031599815902055,2.034522939554496,0.7,1.0,2.290713064827287
burst,Low,reactive_greedy,10,54.618024147727155,9.620947271379602,0.4,0.8,2.7108781344002635
burst,Medium,predictive_consensus_greedy,9,40.36573596360077,7.911176418021749,0.3333333333333333,0.8888888888888888,4.3039405513789255
burst,Medium,predictive_graph_greedy,9,41.650242100349715,9.195682554770698,0.5555555555555556,0.8888888888888888,2.9392270129157825
burst,Medium,predictive_greedy,9,40.127989017191254,7.67342947161223,0.4444444444444444,0.8888888888888888,4.686800689088058
burst,Medium,predictive_simple_fusion_greedy,9,40.36573596360077,7.911176418021749,0.3333333333333333,0.8888888888888888,4.3039405513789255
burst,Medium,random,9,39.45974127226585,7.005181726686834,0.1111111111111111,1.0,4.582641583556121
burst,Medium,reactive_greedy,9,38.47967847758574,6.025118932006725,0.3333333333333333,0.8888888888888888,4.273924241775401
burst,High,predictive_consensus_greedy,9,47.5280777025149,6.923526150694208,0.4444444444444444,0.7777777777777778,4.991043848707502
burst,High,predictive_graph_greedy,9,46.703107806043306,6.098556254222611,0.3333333333333333,0.7777777777777778,5.09567959607941
burst,High,predictive_greedy,9,41.49010714090947,0.8855555890887798,0.7777777777777778,1.0,7.641441449894046
burst,High,predictive_simple_fusion_greedy,9,47.5280777025149,6.923526150694208,0.4444444444444444,0.7777777777777778,4.991043848707502
burst,High,random,9,46.780009016284,6.175457464463305,0.5555555555555556,0.8888888888888888,5.4700914909456815
burst,High,reactive_greedy,9,43.50253542800054,2.897983876179853,0.5555555555555556,0.8888888888888888,5.3028865004736065
outage,Low,predictive_consensus_greedy,10,45.583423424240145,2.0647203052857286,0.7,1.0,2.098972447502456
outage,Low,predictive_graph_greedy,10,45.583423424240145,2.0647203052857286,0.7,1.0,2.098972447502456
outage,Low,predictive_greedy,10,45.65605642992888,2.1373533109744614,0.7,1.0,2.8975470680590663
outage,Low,predictive_simple_fusion_greedy,10,46.13969457408355,2.6209914551291242,0.6,1.0,2.4659447407313566
outage,Low,random,10,45.43854878708224,1.9198456681278184,0.7,1.0,1.958408427287941
outage,Low,reactive_greedy,10,48.631498880756915,5.112795761802493,0.5,0.9,2.721250670538575
outage,Medium,predictive_consensus_greedy,9,39.16392253357171,1.3593704411833447,0.5555555555555556,1.0,3.6520225222347005
outage,Medium,predictive_graph_greedy,9,38.42165183473804,0.6170997423496816,0.6666666666666666,1.0,2.8158152706940505
outage,Medium,predictive_greedy,9,41.167259244623615,3.3627071522352536,0.2222222222222222,0.8888888888888888,5.564642357989214
outage,Medium,predictive_simple_fusion_greedy,9,39.42955492926174,1.6250028368733775,0.3333333333333333,1.0,4.762453482425674
outage,Medium,random,9,42.748346064630184,4.943793972241819,0.4444444444444444,1.0,2.9266957129253166
outage,Medium,reactive_greedy,9,42.11918840212351,4.314636309735151,0.2222222222222222,0.8888888888888888,5.45175738846673
outage,High,predictive_consensus_greedy,9,37.459743098649774,2.6914376808798783,0.5555555555555556,0.8888888888888888,4.444513412036435
outage,High,predictive_graph_greedy,9,38.45498595365471,3.68668053588482,0.2222222222222222,0.8888888888888888,3.8206861950683457
outage,High,predictive_greedy,9,37.459743098649774,2.6914376808798783,0.5555555555555556,0.8888888888888888,4.444513412036435
outage,High,predictive_simple_fusion_greedy,9,37.459743098649774,2.6914376808798783,0.5555555555555556,0.8888888888888888,4.444513412036435
outage,High,random,9,49.6490211041965,14.880715686426608,0.2222222222222222,0.6666666666666666,7.090069860382452
outage,High,reactive_greedy,9,38.95076598145741,4.182460563687514,0.2222222222222222,0.8888888888888888,3.5306726570593634
structural,Low,predictive_consensus_greedy,10,39.501497747527445,1.7615403769183053,0.8,1.0,1.9924245411959418
structural,Low,predictive_graph_greedy,10,39.26817402318745,1.5282166525783087,0.7,1.0,1.7309161962104553
structural,Low,predictive_greedy,10,39.527785995088216,1.787828624479077,0.6,1.0,2.791125520882633
structural,Low,predictive_simple_fusion_greedy,10,40.04056579209866,2.300608421489521,0.6,1.0,2.603571141892462
structural,Low,random,10,41.715998709599475,3.9760413389903375,0.6,1.0,1.8950588010106002
structural,Low,reactive_greedy,10,42.97023978629285,5.23028241568371,0.4,0.9,2.65541913183406
structural,Medium,predictive_consensus_greedy,9,37.22447647579608,1.5844805537722477,0.3333333333333333,1.0,4.076986545101034
structural,Medium,predictive_graph_greedy,9,36.96671850472332,1.3267225826994868,0.3333333333333333,1.0,2.974386891401082
structural,Medium,predictive_greedy,9,37.399395498770815,1.7593995767469828,0.2222222222222222,1.0,4.826621928367887
structural,Medium,predictive_simple_fusion_greedy,9,37.399395498770815,1.7593995767469828,0.2222222222222222,1.0,4.826621928367887
structural,Medium,random,9,40.22352135568095,4.583525433657123,0.2222222222222222,1.0,3.5289000536843864
structural,Medium,reactive_greedy,9,38.563080721911476,2.9230847998876484,0.1111111111111111,1.0,4.2595570762892345
structural,High,predictive_consensus_greedy,9,66.38750937085908,4.933707953239891,0.4444444444444444,0.2222222222222222,10.8920446914611
structural,High,predictive_graph_greedy,9,66.8146842711036,5.360882853484416,0.2222222222222222,0.2222222222222222,10.289711349505524
structural,High,predictive_greedy,9,66.33898954617388,4.885188128554702,0.5555555555555556,0.2222222222222222,11.180064080464136
structural,High,predictive_simple_fusion_greedy,9,66.33898954617388,4.885188128554702,0.5555555555555556,0.2222222222222222,11.180064080464136
structural,High,random,9,65.5269401270562,4.073138709437022,0.4444444444444444,0.2222222222222222,10.269942230585407
structural,High,reactive_greedy,9,66.6104989829912,5.156697565372021,0.3333333333333333,0.2222222222222222,10.549897117165123
