policy_name,decision_count,mean_realized_latency_ms,mean_decision_gap_ms,retrospective_best_path_match_rate,success_rate_under_60ms,p95_realized_latency_ms,cvar95_realized_latency_ms,mean_decision_time_us,scenario_name,best_temporal_model,best_graph_model
random,28,43.20267539348872,4.333291508454129,0.4642857142857143,0.9642857142857143,57.07585033961099,59.38279438294873,246.47021428571432,base,linear_regression,graph_xgboost
reactive_greedy,28,43.426592080707046,4.5572081956724615,0.32142857142857145,0.8928571428571429,61.9088248020949,65.56376735810568,232.83332142857142,base,linear_regression,graph_xgboost
predictive_greedy,28,41.57869947816961,2.7093155931350283,0.5,0.9285714285714286,60.025767845255565,61.60068419633321,230.45374999999996,base,linear_regression,graph_xgboost
predictive_graph_greedy,28,40.65570101341968,1.7863171283850952,0.5714285714285714,0.9642857142857143,57.07585033961099,59.38279438294873,237.85125,base,linear_regression,graph_xgboost
predictive_simple_fusion_greedy,28,41.192879571144246,2.3234956861096623,0.5,0.9642857142857143,57.606523569995474,59.791004560167565,234.3303928571429,base,linear_regression,graph_xgboost
predictive_consensus_greedy,28,40.74546303004001,1.876079145005422,0.6428571428571429,0.9642857142857143,57.07585033961099,59.38279438294873,227.31250000000003,base,linear_regression,graph_xgboost
random,28,44.516919669856044,4.963249361282008,0.4642857142857143,0.9642857142857143,59.05321727907577,60.04523850369685,254.28575,burst,linear_regression,graph_xgboost
reactive_greedy,28,45.857863093841004,6.304192785266973,0.42857142857142855,0.8571428571428571,62.01787417607783,78.57201134693881,235.83342857142858,burst,linear_regression,graph_xgboost
predictive_greedy,28,44.69009499952306,5.136424690949032,0.5,0.8928571428571429,62.01787417607783,66.42831154696194,227.16514285714283,burst,linear_regression,graph_xgboost
predictive_graph_greedy,28,45.98068395060339,6.427013642029347,0.4642857142857143,0.8571428571428571,62.01787417607783,66.50481023755333,238.87492857142857,burst,linear_regression,graph_xgboost
predictive_simple_fusion_greedy,28,45.9389297652826,6.385259456708561,0.42857142857142855,0.8571428571428571,62.01787417607783,66.50481023755333,231.55367857142855,burst,linear_regression,graph_xgboost
predictive_consensus_greedy,28,45.832975873371375,6.279305564797342,0.42857142857142855,0.8571428571428571,62.01787417607783,66.50481023755333,234.98225,burst,linear_regression,graph_xgboost
random,28,45.9272068710808,7.057822986046217,0.4642857142857143,0.8928571428571429,64.60868749293591,69.35500962173026,251.21721428571428,outage,linear_regression,graph_xgboost
reactive_greedy,28,43.426592080707046,4.5572081956724615,0.32142857142857145,0.8928571428571429,61.9088248020949,65.56376735810568,235.71278571428573,outage,linear_regression,graph_xgboost
predictive_greedy,28,41.57869947816961,2.7093155931350283,0.5,0.9285714285714286,60.025767845255565,61.60068419633321,220.81396428571426,outage,linear_regression,graph_xgboost
predictive_graph_greedy,28,40.99014194064058,2.120758055605993,0.5357142857142857,0.9642857142857143,57.07585033961099,59.38279438294873,257.23967857142856,outage,linear_regression,graph_xgboost
predictive_simple_fusion_greedy,28,41.192879571144246,2.3234956861096623,0.5,0.9642857142857143,57.606523569995474,59.791004560167565,238.84217857142858,outage,linear_regression,graph_xgboost
predictive_consensus_greedy,28,40.908829461871235,2.0394455768366533,0.6071428571428571,0.9642857142857143,57.07585033961099,59.38279438294873,231.92560714285713,outage,linear_regression,graph_xgboost
random,28,48.88979073002247,4.20251395277681,0.42857142857142855,0.75,78.91480049447271,79.15651213611542,255.59375000000003,structural,linear_regression,graph_xgboost
reactive_greedy,28,49.152307685966164,4.465030908720505,0.2857142857142857,0.7142857142857143,79.56736660369253,84.92335121650339,217.2946071428571,structural,linear_regression,graph_xgboost
predictive_greedy,28,47.46154733412087,2.774270556875212,0.4642857142857143,0.75,79.41452915593419,84.92335121650339,223.94500000000008,structural,linear_regression,graph_xgboost
predictive_graph_greedy,28,47.38265590051132,2.69537912326565,0.42857142857142855,0.75,80.1985848721472,85.30442779187348,229.06692857142852,structural,linear_regression,graph_xgboost
predictive_simple_fusion_greedy,28,47.644682975910314,2.9574061986646565,0.4642857142857143,0.75,79.41452915593419,84.92335121650339,226.02078571428572,structural,linear_regression,graph_xgboost
predictive_consensus_greedy,28,47.41153036054181,2.7242535832961536,0.5357142857142857,0.75,79.56736660369253,84.92335121650339,226.67860714285715,structural,linear_regression,graph_xgboost
