policy_name,decision_count,mean_realized_latency_ms,mean_decision_gap_ms,retrospective_best_path_match_rate,success_rate_under_60ms,p95_realized_latency_ms,cvar95_realized_latency_ms,mean_decision_time_us,scenario_name,disagreement_penalty
predictive_consensus_greedy,28,41.192879571144246,2.3234956861096623,0.5,0.9642857142857143,57.606523569995474,59.791004560167565,229.14139285714282,base,0.0
predictive_consensus_greedy,28,41.1637217013429,2.2943378163083166,0.5357142857142857,0.9642857142857143,57.07585033961099,59.38279438294873,233.58178571428567,base,0.1
predictive_consensus_greedy,28,40.74546303004001,1.876079145005422,0.6428571428571429,0.9642857142857143,57.07585033961099,59.38279438294873,234.7023928571429,base,0.2
predictive_consensus_greedy,28,40.74546303004001,1.876079145005422,0.6428571428571429,0.9642857142857143,57.07585033961099,59.38279438294873,243.50753571428567,base,0.3
predictive_consensus_greedy,28,40.678868885843436,1.809485000808847,0.6428571428571429,0.9642857142857143,57.07585033961099,59.38279438294873,238.34367857142857,base,0.5
predictive_consensus_greedy,28,45.9389297652826,6.385259456708561,0.42857142857142855,0.8571428571428571,62.01787417607783,66.50481023755333,234.762,burst,0.0
predictive_consensus_greedy,28,46.03164414117259,6.477973832598555,0.39285714285714285,0.8571428571428571,62.01787417607783,66.50481023755333,222.5045357142857,burst,0.1
predictive_consensus_greedy,28,45.832975873371375,6.279305564797342,0.42857142857142855,0.8571428571428571,62.01787417607783,66.50481023755333,232.4821785714286,burst,0.2
predictive_consensus_greedy,28,45.832975873371375,6.279305564797342,0.42857142857142855,0.8571428571428571,62.01787417607783,66.50481023755333,250.7945714285714,burst,0.3
predictive_consensus_greedy,28,45.66024796474471,6.106577656170676,0.4642857142857143,0.8571428571428571,62.01787417607783,66.50481023755333,263.4821785714285,burst,0.5
predictive_consensus_greedy,28,41.192879571144246,2.3234956861096623,0.5,0.9642857142857143,57.606523569995474,59.791004560167565,235.3557142857143,outage,0.0
predictive_consensus_greedy,28,41.1637217013429,2.2943378163083166,0.5357142857142857,0.9642857142857143,57.07585033961099,59.38279438294873,228.09074999999993,outage,0.1
predictive_consensus_greedy,28,40.908829461871235,2.0394455768366533,0.6071428571428571,0.9642857142857143,57.07585033961099,59.38279438294873,248.30214285714285,outage,0.2
predictive_consensus_greedy,28,40.908829461871235,2.0394455768366533,0.6071428571428571,0.9642857142857143,57.07585033961099,59.38279438294873,241.80364285714285,outage,0.3
predictive_consensus_greedy,28,40.79790383537825,1.9285199503436696,0.6428571428571429,0.9642857142857143,57.07585033961099,59.38279438294873,244.58189285714283,outage,0.5
predictive_consensus_greedy,28,47.644682975910314,2.9574061986646565,0.4642857142857143,0.75,79.41452915593419,84.92335121650339,232.90475,structural,0.0
predictive_consensus_greedy,28,47.61552510610897,2.9282483288633108,0.5,0.75,79.41452915593419,84.92335121650339,235.2009642857143,structural,0.1
predictive_consensus_greedy,28,47.41153036054181,2.7242535832961536,0.5357142857142857,0.75,79.56736660369253,84.92335121650339,240.98964285714288,structural,0.2
predictive_consensus_greedy,28,47.41153036054181,2.7242535832961536,0.5357142857142857,0.75,79.56736660369253,84.92335121650339,237.2872142857143,structural,0.3
predictive_consensus_greedy,28,47.40582377293506,2.7185469956894024,0.5,0.75,80.1985848721472,85.30442779187348,230.3810357142857,structural,0.5
