session_bin_index,candidate_count,mean_candidate_disagreement,max_candidate_disagreement,stressed_candidate_fraction,scenario_name
50,7,1.5613484631176107,3.166335497313412,0.0,base
51,14,2.355107561668514,7.147367480611138,0.0,base
52,14,1.605010241087127,5.793435542705993,0.0,base
53,14,2.2054843311613825,5.763580459388322,0.0,base
54,14,2.246299091930788,6.988892946188571,0.0,base
55,14,1.5518706653586247,3.6893136940561817,0.0,base
56,14,1.9435835154997352,7.445467408419063,0.0,base
57,14,2.0231701724120024,7.330365608380816,0.0,base
58,14,2.992448508164671,10.823152626362571,0.0,base
59,7,1.4509000542301302,5.579189904005034,0.0,base
101,2,4.341836542058445,7.413730737498554,0.0,base
102,2,2.1021386887259723,2.1464189697580878,0.0,base
103,2,3.185381249197235,5.0202427153417375,0.0,base
104,2,2.295260370894539,2.7289164885951323,0.0,base
105,2,2.639473593844741,4.797485230483289,0.0,base
106,2,3.9818997070906335,6.757837653603929,0.0,base
107,2,7.197176405643404,7.61246257340099,0.0,base
108,2,6.170552132411103,8.504944629399688,0.0,base
109,2,2.4014746703796845,3.678004319415777,0.0,base
110,2,6.1942902237933595,8.002369961308432,0.0,base
111,2,2.703602975609101,3.2741822051466443,0.0,base
112,2,4.240417610883014,4.866533242864534,0.0,base
113,2,3.7136772098674555,5.341283718989871,0.0,base
114,2,11.3723065388549,12.117552944822819,0.0,base
115,2,7.845534198779205,10.157021266233642,0.0,base
116,2,6.356893328520528,7.16362279200257,0.0,base
117,2,2.7894009790143173,4.30796433310752,0.0,base
118,2,2.3879138653574046,3.620982580294367,0.0,base
50,7,2.4060420704159435,4.9037054056243505,0.42857142857142855,burst
51,14,3.408182330368228,12.270992106619815,0.07142857142857142,burst
52,14,2.1536857773171505,6.766153232965735,0.0,burst
53,14,2.5653195130694906,7.129186561003735,0.14285714285714285,burst
54,14,2.3826989896359527,6.065269509599602,0.0,burst
55,14,2.8338763589776397,7.780336217816512,0.07142857142857142,burst
56,14,2.127709795818061,6.975734415143961,0.14285714285714285,burst
57,14,2.8450027443676453,9.939732215927506,0.07142857142857142,burst
58,14,2.1113988039594136,7.181015119153017,0.21428571428571427,burst
59,7,4.846578342963767,16.920705018863373,0.2857142857142857,burst
101,2,3.7843971376387344,7.413730737498554,0.0,burst
102,2,1.81836815781935,2.1464189697580878,0.0,burst
103,2,3.185381249200873,5.0202427153417375,0.0,burst
104,2,1.4768429505020322,2.7289164885951323,0.0,burst
105,2,5.492290584632428,8.048055127372209,0.5,burst
106,2,1.7756045837559213,2.1890279245126294,0.0,burst
107,2,5.772883683199325,7.646649890295521,0.0,burst
108,2,4.543391823794082,5.250624012165645,0.0,burst
109,2,0.9799598585850617,1.124945021343592,0.0,burst
110,2,4.823583264165791,8.777741512822104,0.5,burst
111,2,0.5553182733528956,0.976412289084692,0.0,burst
112,2,5.992178542943293,9.471369651662826,0.0,burst
113,2,7.252939246754977,10.069855729503615,0.5,burst
114,2,10.142338532990834,10.987992850896262,0.0,burst
115,2,6.158399820185878,10.092934352171142,0.0,burst
116,2,4.518759580270853,4.860331391268119,0.0,burst
117,2,1.8608217639630311,2.5787714533507824,0.0,burst
118,2,6.639766568030609,8.051982336153742,0.5,burst
50,7,2.3832441268002316,4.297265565859561,0.14285714285714285,outage
51,14,3.104273069674361,12.631149933018605,0.07142857142857142,outage
52,14,2.3128098269491084,15.516577630638494,0.07142857142857142,outage
53,14,2.670325423577846,7.97691623576975,0.07142857142857142,outage
54,14,2.6821155208776224,8.450623903219821,0.07142857142857142,outage
55,14,2.2400152900949513,6.109599673261982,0.0,outage
56,14,2.556865146234486,7.4374145824913285,0.0,outage
57,14,1.9928083185212537,7.330365608380816,0.0,outage
58,14,3.101085542146133,10.823152626362571,0.0,outage
59,7,1.4509000542301302,5.579189904005034,0.0,outage
101,2,4.341836542058445,7.413730737498554,0.0,outage
102,2,2.1021386887259723,2.1464189697580878,0.0,outage
103,2,3.185381249197235,5.0202427153417375,0.0,outage
104,2,2.295260370894539,2.7289164885951323,0.0,outage
105,2,2.639473593844741,4.797485230483289,0.0,outage
106,2,3.9818997070906335,6.757837653603929,0.0,outage
107,2,7.197176405643404,7.61246257340099,0.0,outage
108,2,6.170552132411103,8.504944629399688,0.0,outage
109,2,2.4014746703796845,3.678004319415777,0.0,outage
110,2,6.1942902237933595,8.002369961308432,0.0,outage
111,2,2.703602975609101,3.2741822051466443,0.0,outage
112,2,4.240417610883014,4.866533242864534,0.0,outage
113,2,3.7136772098674555,5.341283718989871,0.0,outage
114,2,11.3723065388549,12.117552944822819,0.0,outage
115,2,7.845534198779205,10.157021266233642,0.0,outage
116,2,6.356893328520528,7.16362279200257,0.0,outage
117,2,2.7894009790143173,4.30796433310752,0.0,outage
118,2,2.3879138653574046,3.620982580294367,0.0,outage
50,7,1.5613484631176107,3.166335497313412,0.0,structural
51,14,2.355107561668514,7.147367480611138,0.0,structural
52,14,1.605010241087127,5.793435542705993,0.0,structural
53,14,2.2054843311613825,5.763580459388322,0.0,structural
54,14,2.246299091930788,6.988892946188571,0.0,structural
55,14,1.5518706653586247,3.6893136940561817,0.0,structural
56,14,1.9435835154997352,7.445467408419063,0.0,structural
57,14,2.0231701724120024,7.330365608380816,0.0,structural
58,14,2.992448508164671,10.823152626362571,0.0,structural
59,7,1.4509000542301302,5.579189904005034,0.0,structural
101,2,4.341836542058445,7.413730737498554,0.0,structural
102,2,12.405097950344498,13.747133114557073,1.0,structural
103,2,12.814325471452321,13.036962118385418,1.0,structural
104,2,12.482805930572795,14.44257325961371,1.0,structural
105,2,14.479962698256713,15.776049948770378,1.0,structural
106,2,12.633659195009386,13.406463782863284,1.0,structural
107,2,11.298182244139753,12.3989303761482,1.0,structural
108,2,6.170552132411103,8.504944629399688,0.0,structural
109,2,2.4014746703796845,3.678004319415777,0.0,structural
110,2,6.1942902237933595,8.002369961308432,0.0,structural
111,2,2.703602975609101,3.2741822051466443,0.0,structural
112,2,4.240417610883014,4.866533242864534,0.0,structural
113,2,3.7136772098674555,5.341283718989871,0.0,structural
114,2,11.3723065388549,12.117552944822819,0.0,structural
115,2,7.845534198779205,10.157021266233642,0.0,structural
116,2,6.356893328520528,7.16362279200257,0.0,structural
117,2,2.7894009790143173,4.30796433310752,0.0,structural
118,2,2.3879138653574046,3.620982580294367,0.0,structural
