policy_name,decision_count,mean_realized_latency_ms,mean_decision_gap_ms,retrospective_best_path_match_rate,success_rate_under_60ms,p95_realized_latency_ms,cvar95_realized_latency_ms,mean_decision_time_us,switch_rate,mean_end_to_end_latency_ms,p95_end_to_end_latency_ms,control_loop_latency_ms,stale_decision_rate,mean_feasible_candidate_count,no_feasible_candidate_rate,scenario_name
random,119,59.627616622786185,14.78253209875242,0.5210084033613446,0.5546218487394958,77.09941118199131,101.84542483656556,545.5308487394958,0.05042016806722689,59.627616622786185,77.09941118199131,0.0,0.0,1.504201680672269,0.0,session_holdout
best_historical_path,119,44.84508452403377,0.0,1.0,0.7563025210084033,72.77792008346441,75.90312118170614,334.8781428571429,0.008403361344537815,44.84508452403377,72.77792008346441,0.0,0.0,1.504201680672269,0.0,session_holdout
highest_reply_availability,119,51.75568781005541,6.9106032860216375,0.7899159663865546,0.680672268907563,75.0811631231755,98.79311021573415,334.38936134453786,0.2857142857142857,51.75568781005541,75.0811631231755,0.0,0.0,1.504201680672269,0.0,session_holdout
reactive_greedy,119,44.84508452403377,0.0,1.0,0.7563025210084033,72.77792008346441,75.90312118170614,330.92817647058826,0.008403361344537815,44.84508452403377,72.77792008346441,0.0,0.0,1.504201680672269,0.0,session_holdout
predictive_greedy,119,44.84508452403377,0.0,1.0,0.7563025210084033,72.77792008346441,75.90312118170614,343.81793277310925,0.008403361344537815,44.84508452403377,72.77792008346441,0.0,0.0,1.504201680672269,0.0,session_holdout
predictive_graph_greedy,119,44.84508452403377,0.0,1.0,0.7563025210084033,72.77792008346441,75.90312118170614,331.79337815126047,0.008403361344537815,44.84508452403377,72.77792008346441,0.0,0.0,1.504201680672269,0.0,session_holdout
predictive_simple_fusion_greedy,119,44.84508452403377,0.0,1.0,0.7563025210084033,72.77792008346441,75.90312118170614,325.51088235294117,0.008403361344537815,44.84508452403377,72.77792008346441,0.0,0.0,1.504201680672269,0.0,session_holdout
predictive_consensus_greedy,119,44.84508452403377,0.0,1.0,0.7563025210084033,72.77792008346441,75.90312118170614,333.08439495798325,0.008403361344537815,44.84508452403377,72.77792008346441,0.0,0.0,1.504201680672269,0.0,session_holdout
calibrated_fusion_selector,119,44.84508452403377,0.0,1.0,0.7563025210084033,72.77792008346441,75.90312118170614,337.17015966386555,0.008403361344537815,44.84508452403377,72.77792008346441,0.0,0.0,1.504201680672269,0.0,session_holdout
disagreement_only_selector,119,44.84508452403377,0.0,1.0,0.7563025210084033,72.77792008346441,75.90312118170614,343.25005042016807,0.008403361344537815,44.84508452403377,72.77792008346441,0.0,0.0,1.504201680672269,0.0,session_holdout
ensemble_uncertainty_selector,119,44.84508452403377,0.0,1.0,0.7563025210084033,72.77792008346441,75.90312118170614,329.2288823529411,0.008403361344537815,44.84508452403377,72.77792008346441,0.0,0.0,1.504201680672269,0.0,session_holdout
conformal_uncertainty_selector,119,44.84508452403377,0.0,1.0,0.7563025210084033,72.77792008346441,75.90312118170614,324.4023781512605,0.008403361344537815,44.84508452403377,72.77792008346441,0.0,0.0,1.504201680672269,0.0,session_holdout
