comparison_name,metric_name,sample_count,mean_delta,median_delta,ci_lower,ci_upper,statistic,p_value,holm_adjusted_p_value,effect_size_dz,win_rate,loss_rate,block_bootstrap_p_value,scenario_name
operational_vs_conformal_uncertainty,cumulative_decision_gap_5_ms,111,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_historical,realized_next_latency_ms,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_historical,decision_gap_ms,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_historical,success_under_budget,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_historical,realized_cumulative_latency_3_ms,115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_historical,cumulative_decision_gap_3_ms,115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_historical,realized_cumulative_latency_5_ms,111,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_historical,cumulative_decision_gap_5_ms,111,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
switch_aware_vs_operational,realized_next_latency_ms,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
switch_aware_vs_operational,decision_gap_ms,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
switch_aware_vs_operational,success_under_budget,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
switch_aware_vs_operational,realized_cumulative_latency_3_ms,115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
switch_aware_vs_operational,cumulative_decision_gap_3_ms,115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
switch_aware_vs_operational,realized_cumulative_latency_5_ms,111,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
switch_aware_vs_operational,cumulative_decision_gap_5_ms,111,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
graph_vs_temporal,realized_next_latency_ms,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
graph_vs_temporal,decision_gap_ms,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
graph_vs_temporal,success_under_budget,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
graph_vs_temporal,realized_cumulative_latency_3_ms,115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
graph_vs_temporal,cumulative_decision_gap_3_ms,115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
graph_vs_temporal,realized_cumulative_latency_5_ms,111,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
graph_vs_temporal,cumulative_decision_gap_5_ms,111,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_temporal,realized_next_latency_ms,28,0.19415659485352638,0.0,-0.4842182114664495,0.9017267206884213,18.0,0.5939546753269146,1.0,0.07784647829687118,0.10714285714285714,0.21428571428571427,0.5762118940529735,temporal_holdout
operational_vs_temporal,decision_gap_ms,28,0.19415659485352638,0.0,-0.4842182114664495,0.9017267206884213,18.0,0.5939546753269146,1.0,0.07784647829687118,0.10714285714285714,0.21428571428571427,0.5762118940529735,temporal_holdout
operational_vs_temporal,success_under_budget,28,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,temporal_holdout
operational_vs_temporal,realized_cumulative_latency_3_ms,23,1.6717032613454865,0.0,0.24584450438002473,3.3278405946685177,3.0,0.03569190011680441,0.21415140070082647,0.3988686559562906,0.08695652173913043,0.2608695652173913,0.026986506746626688,temporal_holdout
operational_vs_temporal,cumulative_decision_gap_3_ms,23,1.6717032613454865,0.0,0.24584450438002473,3.3278405946685177,3.0,0.03569190011680441,0.21415140070082647,0.3988686559562906,0.08695652173913043,0.2608695652173913,0.026986506746626688,temporal_holdout
operational_vs_temporal,realized_cumulative_latency_5_ms,19,-1.522175537586942,0.0,-7.075598783617798,4.748519625993341,12.0,0.7353166906373405,1.0,-0.13009948598911777,0.15789473684210525,0.21052631578947367,0.5992003998001,temporal_holdout
operational_vs_temporal,cumulative_decision_gap_5_ms,19,-1.522175537586942,0.0,-7.075598783617798,4.748519625993341,12.0,0.7353166906373405,1.0,-0.13009948598911777,0.15789473684210525,0.21052631578947367,0.5992003998001,temporal_holdout
operational_vs_graph,realized_next_latency_ms,28,-1.0022216664776098,0.0,-3.1045640147079006,0.569170358538434,16.0,0.44126813332892967,1.0,-0.1813746898154534,0.21428571428571427,0.10714285714285714,0.29235382308845576,temporal_holdout
operational_vs_graph,decision_gap_ms,28,-1.0022216664776098,0.0,-3.1045640147079006,0.569170358538434,16.0,0.44126813332892967,1.0,-0.1813746898154534,0.21428571428571427,0.10714285714285714,0.29235382308845576,temporal_holdout
operational_vs_graph,success_under_budget,28,0.03571428571428571,0.0,0.0,0.10714285714285714,0.0,0.31731050786291415,1.0,0.18898223650461357,0.0,0.03571428571428571,0.6151924037981009,temporal_holdout
operational_vs_graph,realized_cumulative_latency_3_ms,24,-0.27847166940804574,0.0,-1.8896754367035518,1.1142768742187303,15.0,0.6744240722352938,1.0,-0.07418830587377748,0.16666666666666666,0.16666666666666666,0.7226386806596702,temporal_holdout
operational_vs_graph,cumulative_decision_gap_3_ms,24,-0.27847166940804574,0.0,-1.8896754367035518,1.1142768742187303,15.0,0.6744240722352938,1.0,-0.07418830587377748,0.16666666666666666,0.16666666666666666,0.7226386806596702,temporal_holdout
operational_vs_graph,realized_cumulative_latency_5_ms,19,-4.292496783645679,0.0,-8.124873797580381,-0.6041662136765941,3.0,0.06297905121445523,0.3778743072867313,-0.43496878822964485,0.2631578947368421,0.10526315789473684,0.019490254872563718,temporal_holdout
operational_vs_graph,cumulative_decision_gap_5_ms,19,-4.292496783645679,0.0,-8.124873797580381,-0.6041662136765941,3.0,0.06297905121445523,0.3778743072867313,-0.43496878822964485,0.2631578947368421,0.10526315789473684,0.019490254872563718,temporal_holdout
operational_vs_fusion,realized_next_latency_ms,28,-0.9277984647208408,0.0,-2.987155037399148,0.6243351923372561,15.0,0.6744240722352938,1.0,-0.1685203991239409,0.14285714285714285,0.14285714285714285,0.32733633183408295,temporal_holdout
operational_vs_fusion,decision_gap_ms,28,-0.9277984647208408,0.0,-2.987155037399148,0.6243351923372561,15.0,0.6744240722352938,1.0,-0.1685203991239409,0.14285714285714285,0.14285714285714285,0.32733633183408295,temporal_holdout
operational_vs_fusion,success_under_budget,28,0.03571428571428571,0.0,0.0,0.10714285714285714,0.0,0.31731050786291415,1.0,0.18898223650461357,0.0,0.03571428571428571,0.6151924037981009,temporal_holdout
operational_vs_fusion,realized_cumulative_latency_3_ms,23,-0.4459254171417686,0.0,-2.134957553140406,0.9092320646659287,13.0,0.8657723749926214,1.0,-0.11906817169011921,0.17391304347826086,0.13043478260869565,0.5762118940529735,temporal_holdout
operational_vs_fusion,cumulative_decision_gap_3_ms,23,-0.4459254171417686,0.0,-2.134957553140406,0.9092320646659287,13.0,0.8657723749926214,1.0,-0.11906817169011921,0.17391304347826086,0.13043478260869565,0.5762118940529735,temporal_holdout
operational_vs_fusion,realized_cumulative_latency_5_ms,19,-4.464644965328924,0.0,-8.297021979263628,-0.8324453785859863,1.0,0.046399461870904594,0.34491557426460284,-0.4575766915204193,0.2631578947368421,0.05263157894736842,0.011494252873563218,temporal_holdout
operational_vs_fusion,cumulative_decision_gap_5_ms,19,-4.464644965328924,0.0,-8.297021979263628,-0.8324453785859863,1.0,0.046399461870904594,0.34491557426460284,-0.4575766915204193,0.2631578947368421,0.05263157894736842,0.011494252873563218,temporal_holdout
operational_vs_ensemble_uncertainty,realized_next_latency_ms,28,-1.0095666446596392,0.0,-2.561384038972366,0.10833712065244518,10.0,0.49896229860376107,1.0,-0.2565445390282633,0.10714285714285714,0.14285714285714285,0.12243878060969515,temporal_holdout
operational_vs_ensemble_uncertainty,decision_gap_ms,28,-1.0095666446596392,0.0,-2.561384038972366,0.10833712065244518,10.0,0.49896229860376107,1.0,-0.2565445390282633,0.10714285714285714,0.14285714285714285,0.12243878060969515,temporal_holdout
operational_vs_ensemble_uncertainty,success_under_budget,28,0.03571428571428571,0.0,0.0,0.10714285714285714,0.0,0.31731050786291415,1.0,0.18898223650461357,0.0,0.03571428571428571,0.5877061469265368,temporal_holdout
operational_vs_ensemble_uncertainty,realized_cumulative_latency_3_ms,23,0.4754430640764242,0.0,-0.6293804518936482,2.107659194978372,7.0,0.463071015014588,1.0,0.16213793115311223,0.13043478260869565,0.13043478260869565,0.5222388805597201,temporal_holdout
operational_vs_ensemble_uncertainty,cumulative_decision_gap_3_ms,23,0.4754430640764242,0.0,-0.6293804518936482,2.107659194978372,7.0,0.463071015014588,1.0,0.16213793115311223,0.13043478260869565,0.13043478260869565,0.5222388805597201,temporal_holdout
operational_vs_ensemble_uncertainty,realized_cumulative_latency_5_ms,19,-2.194641441932921,0.0,-7.692231568181108,3.3950413407564017,5.0,0.5001842570707944,1.0,-0.1749824918184249,0.15789473684210525,0.10526315789473684,0.4447776111944028,temporal_holdout
operational_vs_ensemble_uncertainty,cumulative_decision_gap_5_ms,19,-2.194641441932921,0.0,-7.692231568181108,3.3950413407564017,5.0,0.5001842570707944,1.0,-0.1749824918184249,0.15789473684210525,0.10526315789473684,0.4447776111944028,temporal_holdout
operational_vs_conformal_uncertainty,realized_next_latency_ms,28,-0.7001921363835766,0.0,-2.431134450421261,0.6602847618419299,18.0,0.5939546753269146,1.0,-0.1545483350763273,0.14285714285714285,0.17857142857142858,0.3583208395802099,temporal_holdout
operational_vs_conformal_uncertainty,decision_gap_ms,28,-0.7001921363835766,0.0,-2.431134450421261,0.6602847618419299,18.0,0.5939546753269146,1.0,-0.1545483350763273,0.14285714285714285,0.17857142857142858,0.3583208395802099,temporal_holdout
operational_vs_conformal_uncertainty,success_under_budget,28,0.03571428571428571,0.0,0.0,0.10714285714285714,0.0,0.31731050786291415,1.0,0.18898223650461357,0.0,0.03571428571428571,0.5877061469265368,temporal_holdout
operational_vs_conformal_uncertainty,realized_cumulative_latency_3_ms,23,0.6584799000062251,0.0,-0.48537321288162427,2.24767919485771,8.0,0.3104944343172349,1.0,0.21724558214548345,0.13043478260869565,0.17391304347826086,0.3633183408295852,temporal_holdout
operational_vs_conformal_uncertainty,cumulative_decision_gap_3_ms,23,0.6584799000062251,0.0,-0.48537321288162427,2.24767919485771,8.0,0.3104944343172349,1.0,0.21724558214548345,0.13043478260869565,0.17391304347826086,0.3633183408295852,temporal_holdout
operational_vs_conformal_uncertainty,realized_cumulative_latency_5_ms,19,-2.8115313440607768,0.0,-8.4012141267501,3.1838444970260724,6.0,0.3454475304692257,1.0,-0.22111618062299884,0.21052631578947367,0.10526315789473684,0.3378310844577711,temporal_holdout
operational_vs_conformal_uncertainty,cumulative_decision_gap_5_ms,19,-2.8115313440607768,0.0,-8.4012141267501,3.1838444970260724,6.0,0.3454475304692257,1.0,-0.22111618062299884,0.21052631578947367,0.10526315789473684,0.3378310844577711,temporal_holdout
operational_vs_historical,realized_next_latency_ms,28,0.7788037654973425,0.0,-0.4266684957971075,2.456045357968994,18.0,0.5939546753269146,1.0,0.1860653844259847,0.10714285714285714,0.21428571428571427,0.30484757621189407,temporal_holdout
operational_vs_historical,decision_gap_ms,28,0.7788037654973425,0.0,-0.4266684957971075,2.456045357968994,18.0,0.5939546753269146,1.0,0.1860653844259847,0.10714285714285714,0.21428571428571427,0.30484757621189407,temporal_holdout
operational_vs_historical,success_under_budget,28,-0.03571428571428571,0.0,-0.10714285714285714,0.0,0.0,0.31731050786291415,1.0,-0.18898223650461357,0.03571428571428571,0.0,0.592703648175912,temporal_holdout
operational_vs_historical,realized_cumulative_latency_3_ms,24,3.6957686024632843,0.0,1.0770683011620732,7.1411512498848655,1.0,0.017290280592906253,0.13832224474325003,0.4386456655045809,0.041666666666666664,0.2916666666666667,0.02448775612193903,temporal_holdout
operational_vs_historical,cumulative_decision_gap_3_ms,24,3.6957686024632843,0.0,1.0770683011620732,7.1411512498848655,1.0,0.017290280592906253,0.13832224474325003,0.4386456655045809,0.041666666666666664,0.2916666666666667,0.02448775612193903,temporal_holdout
operational_vs_historical,realized_cumulative_latency_5_ms,19,3.9590097834265445,0.0,0.4839240950847396,8.435589033595766,0.0,0.043114446783075355,0.34491557426460284,0.378249808607303,0.0,0.2631578947368421,0.0399800099950025,temporal_holdout
operational_vs_historical,cumulative_decision_gap_5_ms,19,3.9590097834265445,0.0,0.4839240950847396,8.435589033595766,0.0,0.043114446783075355,0.34491557426460284,0.378249808607303,0.0,0.2631578947368421,0.0399800099950025,temporal_holdout
switch_aware_vs_operational,realized_next_latency_ms,28,-0.6154373336661113,0.0,-2.254985100456988,0.48289246746755804,18.0,1.0,1.0,-0.14934948898420786,0.17857142857142858,0.10714285714285714,0.46926536731634183,temporal_holdout
switch_aware_vs_operational,decision_gap_ms,28,-0.6154373336661113,0.0,-2.254985100456988,0.48289246746755804,18.0,1.0,1.0,-0.14934948898420786,0.17857142857142858,0.10714285714285714,0.46926536731634183,temporal_holdout
switch_aware_vs_operational,success_under_budget,28,0.03571428571428571,0.0,0.0,0.10714285714285714,0.0,0.31731050786291415,1.0,0.18898223650461357,0.0,0.03571428571428571,0.592703648175912,temporal_holdout
switch_aware_vs_operational,realized_cumulative_latency_3_ms,24,-3.374824754290185,0.0,-6.43302385361015,-0.9313916979459389,1.0,0.027991815485665747,0.19594270839966021,-0.4011518210617102,0.25,0.041666666666666664,0.02048975512243878,temporal_holdout
switch_aware_vs_operational,cumulative_decision_gap_3_ms,24,-3.374824754290185,0.0,-6.43302385361015,-0.9313916979459389,1.0,0.027991815485665747,0.19594270839966021,-0.4011518210617102,0.25,0.041666666666666664,0.02048975512243878,temporal_holdout
switch_aware_vs_operational,realized_cumulative_latency_5_ms,19,-3.6102322824160518,0.0,-8.257181640925285,-0.06826183673077342,0.0,0.06788915486182899,0.3778743072867313,-0.34438213681808083,0.21052631578947367,0.0,0.05647176411794103,temporal_holdout
