scenario_name,disagreement_bin,candidate_count,mean_disagreement_ms,mean_risk_adjusted_abs_error_ms,mean_temporal_abs_error_ms,mean_graph_abs_error_ms,service_failure_rate
session_holdout,Low,80,7.243628792179504,9.864915541251467,9.280576814057858,12.43743905067376,0.3125
session_holdout,Medium,79,15.064896783626098,7.519981305436142,6.2806318208560805,6.832852135323856,0.16455696202531644
session_holdout,High,79,24.896327649380094,10.202901619484729,6.989269462063652,10.930988107094704,0.3037974683544304
temporal_holdout,Low,54,0.653119584613077,6.072143713040507,4.0329898059415,5.7241607658146005,0.05555555555555555
temporal_holdout,Medium,54,2.017576390807805,6.604365807648349,4.90265289573507,6.228589336741835,0.09259259259259259
temporal_holdout,High,54,5.897670776479033,9.355731683166413,5.468546715434519,10.784775423228425,0.09259259259259259
site_holdout,Low,139,1.4062372039518678,6.549911559514977,4.980767288197345,5.112661318841,0.14388489208633093
site_holdout,Medium,138,5.148172528414262,7.18446557029883,6.273332548083747,6.884422964532548,0.16666666666666666
site_holdout,High,139,19.33423752979579,18.53851791884099,9.124186674379008,18.453613199370846,0.381294964028777
operational_mild,Low,54,1.0157601777105718,5.90707932409998,4.6010002212150205,5.608215883792568,0.1111111111111111
operational_mild,Medium,54,3.228857578381545,6.955129586251562,5.263079338698809,6.584083696717889,0.05555555555555555
operational_mild,High,54,11.175954964645038,6.732381776335997,13.153518559075398,7.810301570441031,0.24074074074074073
operational_moderate,Low,54,2.3266111873409554,8.256690914129681,6.673496734822932,7.378933654942495,0.14814814814814814
operational_moderate,Medium,54,8.083601219605999,10.016089559498944,14.644379542025568,10.992130610375366,0.4074074074074074
operational_moderate,High,54,19.010210450430144,6.564051668220774,26.430132326256874,7.215058549150289,0.7407407407407407
operational_severe,Low,54,4.486250919131063,9.888114210152539,9.491775734837152,9.844746893997197,0.2222222222222222
operational_severe,Medium,54,16.630576493795008,22.01390390342202,35.031409120963566,22.01390390342202,0.7777777777777778
operational_severe,High,54,29.817824178802294,15.021786046367222,47.32853666138445,15.021786046367222,1.0
