comparison_name,metric_name,sample_count,mean_delta,median_delta,statistic,p_value,scenario_name
risk_adjusted_vs_historical,decision_gap_ms,60,-0.3601626996823943,-0.6775732200617384,761.0,0.46438107089086034,site_holdout
risk_adjusted_vs_historical,success_under_budget,60,0.0,0.0,0.0,1.0,site_holdout
graph_vs_temporal,realized_next_latency_ms,60,1.4731114599139399,1.054733580467925,517.0,0.005475269204261959,site_holdout
graph_vs_temporal,decision_gap_ms,60,1.4731114599139399,1.054733580467925,517.0,0.005475269204261959,site_holdout
graph_vs_temporal,success_under_budget,60,0.0,0.0,0.0,1.0,site_holdout
risk_adjusted_vs_temporal,realized_next_latency_ms,13,-5.0803549626978475,-1.0530465791047412,2.0,0.0234375,operational_mild
risk_adjusted_vs_temporal,decision_gap_ms,13,-5.0803549626978475,-1.0530465791047412,2.0,0.0234375,operational_mild
risk_adjusted_vs_temporal,success_under_budget,13,0.0,0.0,0.0,1.0,operational_mild
risk_adjusted_vs_graph,realized_next_latency_ms,13,-0.5585091325964378,0.0,0.0,0.25,operational_mild
risk_adjusted_vs_graph,decision_gap_ms,13,-0.5585091325964378,0.0,0.0,0.25,operational_mild
risk_adjusted_vs_graph,success_under_budget,13,0.0,0.0,0.0,1.0,operational_mild
risk_adjusted_vs_fusion,realized_next_latency_ms,13,-1.5243302900227695,0.0,6.0,0.8125,operational_mild
risk_adjusted_vs_fusion,decision_gap_ms,13,-1.5243302900227695,0.0,6.0,0.8125,operational_mild
risk_adjusted_vs_fusion,success_under_budget,13,0.0,0.0,0.0,1.0,operational_mild
risk_adjusted_vs_ensemble_uncertainty,realized_next_latency_ms,13,-0.2475893921584627,0.0,6.0,0.8125,operational_mild
risk_adjusted_vs_ensemble_uncertainty,decision_gap_ms,13,-0.2475893921584627,0.0,6.0,0.8125,operational_mild
risk_adjusted_vs_ensemble_uncertainty,success_under_budget,13,0.0,0.0,0.0,1.0,operational_mild
risk_adjusted_vs_historical,realized_next_latency_ms,13,-7.595352675630323,-5.606696567382109,0.0,0.001953125,operational_mild
risk_adjusted_vs_historical,decision_gap_ms,13,-7.595352675630323,-5.606696567382109,0.0,0.001953125,operational_mild
risk_adjusted_vs_historical,success_under_budget,13,0.0,0.0,0.0,1.0,operational_mild
graph_vs_temporal,realized_next_latency_ms,13,-4.521845830101411,-1.0530465791047412,4.0,0.02734375,operational_mild
graph_vs_temporal,decision_gap_ms,13,-4.521845830101411,-1.0530465791047412,4.0,0.02734375,operational_mild
graph_vs_temporal,success_under_budget,13,0.0,0.0,0.0,1.0,operational_mild
risk_adjusted_vs_temporal,realized_next_latency_ms,13,-17.871431471383236,-26.161686264982574,1.0,0.0078125,operational_moderate
risk_adjusted_vs_temporal,decision_gap_ms,13,-17.871431471383236,-26.161686264982574,1.0,0.0078125,operational_moderate
risk_adjusted_vs_temporal,success_under_budget,13,0.0,0.0,0.0,1.0,operational_moderate
risk_adjusted_vs_graph,realized_next_latency_ms,13,-7.491547439391342,0.0,1.0,0.5,operational_moderate
risk_adjusted_vs_graph,decision_gap_ms,13,-7.491547439391342,0.0,1.0,0.5,operational_moderate
risk_adjusted_vs_graph,success_under_budget,13,0.15384615384615385,0.0,0.0,0.5,operational_moderate
risk_adjusted_vs_fusion,realized_next_latency_ms,13,-15.819277824395574,-23.57035663519299,0.0,0.015625,operational_moderate
risk_adjusted_vs_fusion,decision_gap_ms,13,-15.819277824395574,-23.57035663519299,0.0,0.015625,operational_moderate
risk_adjusted_vs_fusion,success_under_budget,13,0.0,0.0,0.0,1.0,operational_moderate
risk_adjusted_vs_ensemble_uncertainty,realized_next_latency_ms,13,3.0969588733921705,0.0,1.0,0.03125,operational_moderate
risk_adjusted_vs_ensemble_uncertainty,decision_gap_ms,13,3.0969588733921705,0.0,1.0,0.03125,operational_moderate
risk_adjusted_vs_ensemble_uncertainty,success_under_budget,13,0.0,0.0,0.0,1.0,operational_moderate
risk_adjusted_vs_historical,realized_next_latency_ms,13,-8.183952080820369,-2.1203602111923914,9.0,0.064453125,operational_moderate
risk_adjusted_vs_historical,decision_gap_ms,13,-8.183952080820369,-2.1203602111923914,9.0,0.064453125,operational_moderate
risk_adjusted_vs_historical,success_under_budget,13,0.07692307692307693,0.0,0.0,1.0,operational_moderate
graph_vs_temporal,realized_next_latency_ms,13,-10.37988403199189,-20.998558500813356,13.0,0.16015625,operational_moderate
graph_vs_temporal,decision_gap_ms,13,-10.37988403199189,-20.998558500813356,13.0,0.16015625,operational_moderate
graph_vs_temporal,success_under_budget,13,-0.15384615384615385,0.0,0.0,0.5,operational_moderate
risk_adjusted_vs_temporal,realized_next_latency_ms,13,-23.922927084356466,-42.240647944567996,3.0,0.01953125,operational_severe
risk_adjusted_vs_temporal,decision_gap_ms,13,-23.922927084356466,-42.240647944567996,3.0,0.01953125,operational_severe
risk_adjusted_vs_temporal,success_under_budget,13,0.5384615384615384,1.0,0.0,0.015625,operational_severe
risk_adjusted_vs_graph,realized_next_latency_ms,13,-9.909161158406853,0.0,4.0,0.21875,operational_severe
risk_adjusted_vs_graph,decision_gap_ms,13,-9.909161158406853,0.0,4.0,0.21875,operational_severe
risk_adjusted_vs_graph,success_under_budget,13,0.15384615384615385,0.0,2.5,0.625,operational_severe
risk_adjusted_vs_fusion,realized_next_latency_ms,13,-24.018184199443322,-42.240647944567996,3.0,0.01953125,operational_severe
risk_adjusted_vs_fusion,decision_gap_ms,13,-24.018184199443322,-42.240647944567996,3.0,0.01953125,operational_severe
risk_adjusted_vs_fusion,success_under_budget,13,0.5384615384615384,1.0,0.0,0.015625,operational_severe
risk_adjusted_vs_ensemble_uncertainty,realized_next_latency_ms,13,11.912888527996866,0.0,3.0,0.0390625,operational_severe
risk_adjusted_vs_ensemble_uncertainty,decision_gap_ms,13,11.912888527996866,0.0,3.0,0.0390625,operational_severe
risk_adjusted_vs_ensemble_uncertainty,success_under_budget,13,-0.23076923076923078,0.0,0.0,0.25,operational_severe
risk_adjusted_vs_historical,realized_next_latency_ms,13,-15.055246285368423,-3.9065109406903,0.0,0.001953125,operational_severe
risk_adjusted_vs_historical,decision_gap_ms,13,-15.055246285368423,-3.9065109406903,0.0,0.001953125,operational_severe
risk_adjusted_vs_historical,success_under_budget,13,0.23076923076923078,0.0,0.0,0.25,operational_severe
graph_vs_temporal,realized_next_latency_ms,13,-14.013765925949611,0.0,8.0,0.09765625,operational_severe
graph_vs_temporal,decision_gap_ms,13,-14.013765925949611,0.0,8.0,0.09765625,operational_severe
graph_vs_temporal,success_under_budget,13,0.38461538461538464,0.0,0.0,0.0625,operational_severe
