scenario_name,disagreement_bin,candidate_count,mean_disagreement_ms,mean_risk_adjusted_abs_error_ms,mean_temporal_abs_error_ms,mean_graph_abs_error_ms,service_failure_rate
in_distribution,Low,192,0.22558853499823783,3.130105049661102,2.500501442746758,2.5151298315769077,0.005208333333333333
in_distribution,Medium,192,0.823128588527041,3.71437290168346,2.939002850527371,2.8797277572247917,0.0
in_distribution,High,192,2.4392011250309005,5.875872983248861,4.524665165329123,4.65208214797148,0.005208333333333333
temporal_shift,Low,192,0.2617051146138465,3.1029105012729317,2.6802025709527677,2.7327535927845723,0.0
temporal_shift,Medium,192,0.8975829004391377,3.749983159626973,3.2888969162157213,3.2462576129877543,0.0
temporal_shift,High,192,2.5151591094661305,4.941102241440674,4.064365466549408,4.026145923771747,0.010416666666666666
site_holdout,Low,731,2.759564607934098,11.416574957897996,7.430760503923031,9.845600609520384,0.0
site_holdout,Medium,730,5.605317348907517,12.404328884714046,6.561801381752468,12.01892266700378,0.0
site_holdout,High,730,8.980498791144482,14.074226414716737,5.921559105646164,14.755582925762713,0.0
operational_mild,Low,192,0.9570019120896328,7.265493288199476,7.737843081301193,7.786678660811695,0.03125
operational_mild,Medium,192,2.401483640415961,7.082834547852642,7.469401037024134,7.597327015880658,0.026041666666666668
operational_mild,High,192,4.229192807077301,8.009630279104792,8.544914495144509,8.62787420922978,0.036458333333333336
operational_moderate,Low,192,1.1959901735204899,15.640604912112904,16.793653547947716,16.59871069163942,0.359375
operational_moderate,Medium,192,3.385268031469574,11.278052011899732,11.255402705898566,11.44076366532792,0.171875
operational_moderate,High,192,5.569714170897622,18.800584954438587,21.55007881434212,19.482990258791762,0.13541666666666666
operational_severe,Low,192,1.532825003184655,28.400699261686324,29.676141781118286,29.306293694231417,0.484375
operational_severe,Medium,192,4.286782429162476,26.83305441908782,28.660583015567422,27.616458176206805,0.484375
operational_severe,High,192,6.663293980636458,42.5977031228407,48.34758514570641,43.03105063747132,0.9010416666666666
