policy_name,decision_count,mean_realized_latency_ms,mean_decision_gap_ms,retrospective_best_path_match_rate,success_rate_under_60ms,p95_realized_latency_ms,cvar95_realized_latency_ms,mean_decision_time_us,scenario_name
random,60,29.511654065228065,7.684670020868045,0.2,0.9833333333333333,50.7459087462496,56.642257785642805,272.82503333333335,in_distribution
best_historical_path,60,23.297093664879192,1.4701096205191804,0.35,1.0,28.558287058755212,28.734868850363878,265.75350000000003,in_distribution
highest_reply_availability,60,34.78539462330543,12.95841057894541,0.03333333333333333,1.0,49.31546283956097,53.869486125221364,254.4368,in_distribution
reactive_greedy,60,23.236031570878996,1.409047526518982,0.36666666666666664,1.0,27.628598632812498,29.564945576946656,293.1916666666666,in_distribution
predictive_greedy,60,23.379032225047137,1.5520481806871234,0.3333333333333333,1.0,27.628598632812498,29.564945576946656,253.77643333333333,in_distribution
predictive_graph_greedy,60,23.264124437959342,1.4371403935993248,0.3,1.0,27.62460740997992,28.823458815805584,253.3145,in_distribution
predictive_simple_fusion_greedy,60,23.145943495909346,1.3189594515493324,0.35,1.0,25.946736020801485,28.447820874272768,257.16455,in_distribution
predictive_consensus_greedy,60,23.191297341464374,1.364313297104361,0.35,1.0,27.62460740997992,28.823458815805584,252.27015,in_distribution
ensemble_uncertainty_selector,60,23.44799331671645,1.6210092723564316,0.31666666666666665,1.0,28.699166766181037,29.564945576946656,252.03400000000002,in_distribution
disagreement_aware_selector,60,23.487669486164368,1.6606854418043535,0.3,1.0,28.699166766181037,30.61180505746356,252.8735,in_distribution
random,13,29.124883822901836,5.709138520622459,0.23076923076923078,1.0,38.80368757903639,39.81591350826045,245.51615384615383,temporal_shift
best_historical_path,13,28.558182145667352,5.14243684338798,0.23076923076923078,1.0,36.00185252271557,36.54894357444693,234.5833846153846,temporal_shift
highest_reply_availability,13,35.9471752960965,12.531429993817143,0.23076923076923078,1.0,50.1189622012401,51.548770002388345,232.98084615384616,temporal_shift
reactive_greedy,13,24.66649769206817,1.2507523897887987,0.38461538461538464,1.0,35.623273922287645,35.63712515489467,235.75646153846154,temporal_shift
predictive_greedy,13,25.419199609241065,2.0034543069616912,0.38461538461538464,1.0,35.623273922287645,35.63712515489467,231.91330769230768,temporal_shift
predictive_graph_greedy,13,25.36763474647494,1.951889444195563,0.3076923076923077,1.0,35.623273922287645,35.63712515489467,234.80453846153847,temporal_shift
