scenario_name,spearman_disagreement_error,spearman_p_value,ece,brier_score,candidate_count
in_distribution,0.3028136538316631,1.1124837396185116e-13,0.038124689641522644,0.00602275120204608,576
temporal_shift,0.22511516338884285,4.727161277346526e-08,0.0399237782274508,0.005603667851697471,576
site_holdout,0.4288189197967469,1.0235148136029402e-98,0.01314662537778491,0.0008228396633211895,2191
operational_mild,0.11269698339738277,0.0067795730300201544,0.07233336329709497,0.0314510904381618,576
operational_moderate,0.11175112400472209,0.007261354588212726,0.1160382073010122,0.15911657465814397,576
operational_severe,0.13675495441187555,0.001000234992701846,0.3598364499670165,0.36688795276094704,576
