model_name,mae,rmse,mape,row_count,decision_count,mean_realized_latency_ms,mean_decision_gap_ms,success_rate_under_60ms
linear_regression,10.633784864098214,18.399205716394707,0.2635506431581046,162,28,41.67280615593676,2.803422270902179,0.9642857142857143
ridge_regression,10.593844307564465,18.407917887137543,0.26215176431085135,162,28,41.67280615593676,2.803422270902179,0.9642857142857143
decision_tree_regressor,6.152579128351311,11.386202935367749,0.1380228140324468,162,28,42.86709491348669,3.997711028452097,0.9285714285714286
small_mlp_regressor,10.34733993761132,18.543425699285734,0.22941123095032623,162,28,50.16424017997586,11.294856294941265,0.7857142857142857
