policy_name,decision_count,mean_realized_latency_ms,mean_decision_gap_ms,retrospective_best_path_match_rate,success_rate_under_60ms,p95_realized_latency_ms,cvar95_realized_latency_ms,mean_decision_time_us,switch_rate,scenario_name,ensemble_members
ensemble_uncertainty,28,40.18827964454651,1.3188957595119202,0.6785714285714286,0.9642857142857143,57.07585033961099,59.38279438294873,252.02660714285713,0.39285714285714285,temporal_shift,3
risk_adjusted,28,40.9843784645526,2.1149945795180125,0.6071428571428571,0.9285714285714286,60.025767845255565,63.40786537439175,243.20382142857142,0.5,temporal_shift,3
ensemble_uncertainty,119,39.99042245105259,1.6700221438214478,0.5966386554621849,0.8907563025210085,68.86153368478764,73.5084370275444,236.6138487394958,0.33613445378151263,site_holdout,3
risk_adjusted,119,39.796049499024036,1.4756491917928978,0.6218487394957983,0.8991596638655462,68.86153368478764,73.5084370275444,237.463243697479,0.2773109243697479,site_holdout,3
ensemble_uncertainty,28,46.8791556941928,0.5554959248079445,0.8214285714285714,0.75,79.36966685754155,82.50382888356506,217.78425,0.6428571428571429,operational_moderate,3
risk_adjusted,28,54.58103824904656,8.257378479661694,0.5714285714285714,0.5357142857142857,87.5761949302446,89.34464653953516,230.59971428571433,0.4642857142857143,operational_moderate,3
ensemble_uncertainty,28,55.35767127875608,1.237973384691201,0.8214285714285714,0.6785714285714286,103.87464235805996,107.81949718915754,229.5624285714286,0.5357142857142857,operational_severe,3
risk_adjusted,28,63.905703424246795,9.78600553018191,0.6428571428571429,0.5,105.59219233800852,107.81949718915754,340.15774999999996,0.5,operational_severe,3
ensemble_uncertainty,28,40.36989295292704,1.5005090678924486,0.6428571428571429,0.9642857142857143,57.07585033961099,59.38279438294873,233.17714285714285,0.35714285714285715,temporal_shift,5
risk_adjusted,28,40.9843784645526,2.1149945795180125,0.6071428571428571,0.9285714285714286,60.025767845255565,63.40786537439175,232.94050000000001,0.5,temporal_shift,5
ensemble_uncertainty,119,39.81353547134822,1.4931351641170798,0.6134453781512605,0.8991596638655462,68.86153368478764,73.5084370275444,237.3686470588235,0.31932773109243695,site_holdout,5
risk_adjusted,119,39.796049499024036,1.4756491917928978,0.6218487394957983,0.8991596638655462,68.86153368478764,73.5084370275444,255.1211344537815,0.2773109243697479,site_holdout,5
ensemble_uncertainty,28,48.7153745652587,2.3917147958738463,0.75,0.7142857142857143,82.83585959024501,86.72301401948383,228.3868214285714,0.6785714285714286,operational_moderate,5
risk_adjusted,28,54.58103824904656,8.257378479661694,0.5714285714285714,0.5357142857142857,87.5761949302446,89.34464653953516,236.93753571428573,0.4642857142857143,operational_moderate,5
ensemble_uncertainty,28,55.37350193871215,1.25380404464728,0.8214285714285714,0.6785714285714286,103.87464235805996,107.81949718915754,245.57885714285717,0.5714285714285714,operational_severe,5
risk_adjusted,28,63.905703424246795,9.78600553018191,0.6428571428571429,0.5,105.59219233800852,107.81949718915754,244.4092142857143,0.5,operational_severe,5
ensemble_uncertainty,28,40.36989295292704,1.5005090678924486,0.6428571428571429,0.9642857142857143,57.07585033961099,59.38279438294873,235.90021428571427,0.35714285714285715,temporal_shift,9
risk_adjusted,28,40.9843784645526,2.1149945795180125,0.6071428571428571,0.9285714285714286,60.025767845255565,63.40786537439175,232.7320714285714,0.5,temporal_shift,9
ensemble_uncertainty,119,39.761187718313536,1.4407874110823997,0.6218487394957983,0.8991596638655462,68.86153368478764,73.5084370275444,243.80601680672268,0.33613445378151263,site_holdout,9
risk_adjusted,119,39.796049499024036,1.4756491917928978,0.6218487394957983,0.8991596638655462,68.86153368478764,73.5084370275444,238.20379831932772,0.2773109243697479,site_holdout,9
ensemble_uncertainty,28,49.647034609520006,3.3233748401351453,0.7142857142857143,0.6785714285714286,82.83585959024501,86.72301401948383,223.96717857142858,0.6785714285714286,operational_moderate,9
risk_adjusted,28,54.58103824904656,8.257378479661694,0.5714285714285714,0.5357142857142857,87.5761949302446,89.34464653953516,231.73067857142863,0.4642857142857143,operational_moderate,9
ensemble_uncertainty,28,55.65620998543732,1.5365120913724333,0.7857142857142857,0.6785714285714286,103.87464235805996,107.81949718915754,230.48510714285717,0.5714285714285714,operational_severe,9
risk_adjusted,28,63.905703424246795,9.78600553018191,0.6428571428571429,0.5,105.59219233800852,107.81949718915754,235.47625,0.5,operational_severe,9
ensemble_uncertainty,28,40.36989295292704,1.5005090678924486,0.6428571428571429,0.9642857142857143,57.07585033961099,59.38279438294873,321.01928571428573,0.35714285714285715,temporal_shift,15
risk_adjusted,28,40.9843784645526,2.1149945795180125,0.6071428571428571,0.9285714285714286,60.025767845255565,63.40786537439175,325.27075,0.5,temporal_shift,15
ensemble_uncertainty,119,39.88701857036235,1.5666182631312078,0.6386554621848739,0.8907563025210085,68.86153368478764,73.5084370275444,315.5056638655462,0.3277310924369748,site_holdout,15
risk_adjusted,119,39.796049499024036,1.4756491917928978,0.6218487394957983,0.8991596638655462,68.86153368478764,73.5084370275444,281.6761260504202,0.2773109243697479,site_holdout,15
ensemble_uncertainty,28,48.7153745652587,2.3917147958738463,0.75,0.7142857142857143,82.83585959024501,86.72301401948383,226.30071428571426,0.6785714285714286,operational_moderate,15
risk_adjusted,28,54.58103824904656,8.257378479661694,0.5714285714285714,0.5357142857142857,87.5761949302446,89.34464653953516,234.02378571428568,0.4642857142857143,operational_moderate,15
ensemble_uncertainty,28,55.07496323203093,0.9552653379660477,0.8571428571428571,0.6785714285714286,103.87464235805996,107.81949718915754,237.4195357142857,0.5357142857142857,operational_severe,15
risk_adjusted,28,63.905703424246795,9.78600553018191,0.6428571428571429,0.5,105.59219233800852,107.81949718915754,242.12492857142857,0.5,operational_severe,15
