policy_name,decision_count,mean_realized_latency_ms,mean_decision_gap_ms,retrospective_best_path_match_rate,success_rate_under_60ms,p95_realized_latency_ms,cvar95_realized_latency_ms,mean_decision_time_us,switch_rate,scenario_name,horizon_bins
temporal,28,41.67280615593676,2.803422270902179,0.5,0.9642857142857143,57.606523569995474,59.791004560167565,261.65021428571424,0.5,temporal_shift,1
ensemble_uncertainty,28,40.36989295292704,1.5005090678924486,0.6428571428571429,0.9642857142857143,57.07585033961099,59.38279438294873,233.5654642857143,0.35714285714285715,temporal_shift,1
risk_adjusted,28,40.9843784645526,2.1149945795180125,0.6071428571428571,0.9285714285714286,60.025767845255565,63.40786537439175,233.41375000000002,0.5,temporal_shift,1
temporal,119,39.940607116179415,1.6202068089482735,0.6134453781512605,0.8907563025210085,68.86153368478764,73.5084370275444,236.35604201680675,0.3277310924369748,site_holdout,1
ensemble_uncertainty,119,39.761187718313536,1.4407874110823997,0.6218487394957983,0.8991596638655462,68.86153368478764,73.5084370275444,237.70865546218485,0.33613445378151263,site_holdout,1
risk_adjusted,119,39.796049499024036,1.4756491917928978,0.6218487394957983,0.8991596638655462,68.86153368478764,73.5084370275444,237.72371428571432,0.2773109243697479,site_holdout,1
temporal,28,58.00373549907676,11.680075729691907,0.42857142857142855,0.5,87.5761949302446,89.34464653953516,232.33028571428574,0.5357142857142857,operational_moderate,1
ensemble_uncertainty,28,49.647034609520006,3.3233748401351453,0.7142857142857143,0.6785714285714286,82.83585959024501,86.72301401948383,222.14425,0.6785714285714286,operational_moderate,1
risk_adjusted,28,54.58103824904656,8.257378479661694,0.5714285714285714,0.5357142857142857,87.5761949302446,89.34464653953516,231.76032142857142,0.4642857142857143,operational_moderate,1
temporal,28,62.89220719339327,8.772509299328389,0.6428571428571429,0.5357142857142857,105.59219233800852,107.81949718915754,233.08478571428574,0.5357142857142857,operational_severe,1
ensemble_uncertainty,28,55.65620998543732,1.5365120913724333,0.7857142857142857,0.6785714285714286,103.87464235805996,107.81949718915754,230.96282142857143,0.5714285714285714,operational_severe,1
risk_adjusted,28,63.905703424246795,9.78600553018191,0.6428571428571429,0.5,105.59219233800852,107.81949718915754,234.70382142857144,0.5,operational_severe,1
temporal,28,44.192726623605544,5.323342738570959,0.5714285714285714,0.9285714285714286,59.74002072120238,84.91177442189712,230.1368928571428,0.42857142857142855,temporal_shift,2
ensemble_uncertainty,28,40.502857651934065,1.6334737668994748,0.6428571428571429,1.0,56.75114898930632,57.94226965263809,228.2872142857143,0.4642857142857143,temporal_shift,2
risk_adjusted,28,40.53466887946686,1.6652849944322785,0.6428571428571429,0.9642857142857143,57.07585033961099,59.38279438294873,232.28564285714288,0.35714285714285715,temporal_shift,2
temporal,118,40.048125244133246,1.62269178698032,0.6779661016949152,0.8728813559322034,68.94844324419961,73.52167738142849,241.50246610169492,0.3813559322033898,site_holdout,2
ensemble_uncertainty,118,39.85591438534321,1.4304809281902953,0.6610169491525424,0.8813559322033898,68.94844324419961,73.52167738142849,356.1864152542372,0.3728813559322034,site_holdout,2
risk_adjusted,118,39.731875838817906,1.3064423816649906,0.6694915254237288,0.8813559322033898,68.94844324419961,73.52167738142849,242.2157118644068,0.3898305084745763,site_holdout,2
temporal,28,54.368656371117126,7.905690295258026,0.6428571428571429,0.6071428571428571,93.05468448834239,102.37617817277257,231.0595357142857,0.5714285714285714,operational_moderate,2
ensemble_uncertainty,28,48.01160180935108,1.5486357334919858,0.75,0.75,76.74176899512611,77.59179157852049,218.43892857142856,0.5714285714285714,operational_moderate,2
risk_adjusted,28,48.310537703589276,1.8475716277301737,0.75,0.7142857142857143,77.67018900952574,81.62475592923104,225.04910714285714,0.5,operational_moderate,2
temporal,28,57.78615430228938,3.7409796745270087,0.6785714285714286,0.6428571428571429,103.79615362033586,108.63183212352963,233.27232142857147,0.42857142857142855,operational_severe,2
ensemble_uncertainty,28,57.78615430228938,3.7409796745270087,0.6785714285714286,0.6428571428571429,103.79615362033586,108.63183212352963,227.48067857142857,0.42857142857142855,operational_severe,2
risk_adjusted,28,57.66814958003594,3.6229749522735704,0.7142857142857143,0.6428571428571429,103.79615362033586,108.63183212352963,226.1012142857143,0.42857142857142855,operational_severe,2
temporal,28,41.08451046389564,2.215126578861059,0.4642857142857143,0.9642857142857143,57.606523569995474,59.791004560167565,236.5372142857143,0.39285714285714285,temporal_shift,3
ensemble_uncertainty,28,41.089390024271914,2.2200061392373307,0.42857142857142855,0.9642857142857143,57.606523569995474,59.791004560167565,235.02092857142858,0.35714285714285715,temporal_shift,3
risk_adjusted,28,40.94236767087085,2.0729837858362674,0.5714285714285714,0.9642857142857143,57.606523569995474,59.791004560167565,236.5162857142857,0.35714285714285715,temporal_shift,3
temporal,117,40.01029432537004,1.4426999351141419,0.6752136752136753,0.9145299145299145,65.64661838456902,72.10145164353416,236.3632222222222,0.38461538461538464,site_holdout,3
ensemble_uncertainty,117,40.35746308669637,1.7898686964404786,0.6068376068376068,0.8974358974358975,66.33323193630878,72.10145164353416,236.89281196581194,0.3333333333333333,site_holdout,3
risk_adjusted,117,40.08030100363527,1.512706613379366,0.6495726495726496,0.9145299145299145,65.64661838456902,72.10145164353416,235.35041025641027,0.27350427350427353,site_holdout,3
temporal,28,66.68307653768726,20.26966743123498,0.25,0.39285714285714285,89.72078628932807,94.31938193038172,235.9525357142857,0.5714285714285714,operational_moderate,3
ensemble_uncertainty,28,47.64614745774507,1.2327383512928027,0.6785714285714286,0.75,79.45892896271818,81.21106131078052,222.08767857142857,0.5714285714285714,operational_moderate,3
risk_adjusted,28,62.55391595159737,16.140506845145094,0.2857142857142857,0.42857142857142855,89.72078628932807,92.16016085260922,239.37939285714285,0.35714285714285715,operational_moderate,3
temporal,28,87.74561222779586,33.481576088947534,0.21428571428571427,0.07142857142857142,109.07653631828012,110.8294276898844,239.80807142857137,0.5,operational_severe,3
ensemble_uncertainty,28,55.625602123285276,1.3615659844369437,0.8214285714285714,0.6785714285714286,104.75001431576699,110.30735538826492,228.88546428571433,0.4642857142857143,operational_severe,3
risk_adjusted,28,77.15945551306757,22.895419374219244,0.39285714285714285,0.25,108.68863845040644,110.79201559531766,246.0312142857143,0.39285714285714285,operational_severe,3
